text,translation,tags
Enter,엔터,
Select,선택,
Don't repeat,반복 안 함,
Building,건물,
Numpad Enter,숫자 패드 엔터,
Macros,매크로,
Shift+Enter,Shift+엔터,
Shift+Numpad Enter,Shift+숫자 패드 엔터,
Leave screen,화면 닫기,
ESC,ESC,
Deselect,선택 해제,
Secondary Select,보조 선택,
Main menu,메인 메뉴,
Toggle Fullscreen,전체 화면 전환,
F11,F11,
Delayed repeat,지연 반복,
Leftbracket,왼쪽 대괄호,
Rightbracket,오른쪽 대괄호,
Zoom Out,축소,
Ctrl+Mwheel up,Ctrl+마우스 휠 위로,
Add,추가,
Zoom In,확대,
Ctrl+Mwheel down,Ctrl+마우스 휠 아래로,
Restore defaults,기본값 복원,
Close mega announcement,주요 알림 닫기,
Select all,모두 선택,
Alt+Minus,Alt+빼기,
Tab,Tab,
Change tab or highlight selection,탭 변경 또는 선택 강조,
Alt+Equals,Alt+등호,
Shift+Tab,Shift+Tab,
Decrease FPS limit,FPS 제한 감소,
"Change tab or highlight selection, secondary","탭 변경 또는 선택 강조, 보조",
Increase FPS limit,FPS 제한 증가,
Move selector up,선택기 위로 이동,
Minus,빼기,
Page Down,Page Down,
Mwheel down,마우스 휠 아래로,
Plus,더하기,
Move secondary selector up,보조 선택기 위로 이동,
Page secondary selector down,보조 선택기 Page Down,
Move view/cursor down,시야/커서 아래로 이동,
Move keyboard cursor left,키보드 커서 왼쪽으로 이동,
Fast repeat,빠른 반복,
Mouse-context scrollbar page down,마우스 컨텍스트 스크롤바 Page Down,
Shift+Numpad 8,Shift+숫자 패드 8,
Move view/cursor down (z),시야/커서 아래로 이동 (z),
"Move keyboard cursor down, fast","키보드 커서 아래로 이동, 빠르게",
"Move view/cursor down (z), aux","시야/커서 아래로 이동 (z), 보조",
"Move view/cursor down (z), fast","시야/커서 아래로 이동 (z), 빠르게",
"Move keyboard cursor left, fast","키보드 커서 왼쪽으로 이동, 빠르게",
Move keyboard cursor up and left,키보드 커서 왼쪽 위로 이동,
Shift+4,Shift+4,
Numpad 3,숫자 패드 3,
Mouse-context scrollbar page up,마우스 컨텍스트 스크롤바 Page Up,
Page secondary selector up,보조 선택기 Page Up,
Asterisk,별표,
Shift+Left,Shift+왼쪽 화살표,
Move view/cursor left,시야/커서 왼쪽으로 이동,
Shift+Numpad 4,Shift+숫자 패드 4,
Move secondary selector down,보조 선택기 아래로 이동,
"Move keyboard cursor right, fast","키보드 커서 오른쪽으로 이동, 빠르게",
Shift+Right,Shift+오른쪽 화살표,
Shift+6,Shift+6,
Shift+Numpad 6,Shift+숫자 패드 6,
"Move keyboard cursor up and left, fast","키보드 커서 왼쪽 위로 이동, 빠르게",
Shift+7,Shift+7,
Mouse-context scrollbar down,마우스 컨텍스트 스크롤바 아래로,
Move keyboard cursor down and left,키보드 커서 왼쪽 아래로 이동,
Up,위쪽 화살표,
Shift+Mwheel down,Shift+마우스 휠 아래로,
Shift+Numpad 7,Shift+숫자 패드 7,
"Move view/cursor up (z), aux","시야/커서 위로 이동 (z), 보조",
Page selector down,선택기 Page Down,
"Move keyboard cursor up and right, fast","키보드 커서 오른쪽 위로 이동, 빠르게",
"Move keyboard cursor down and left, fast","키보드 커서 왼쪽 아래로 이동, 빠르게",
Mouse-context scrollbar up,마우스 컨텍스트 스크롤바 위로,
Slash,슬래시,
Move view/cursor up,시야/커서 위로 이동,
"Macro, Save","매크로, 저장",
Move view/cursor right,시야/커서 오른쪽으로 이동,
Custom:,사용자 지정:,
"Move keyboard cursor down and right, fast","키보드 커서 오른쪽 아래로 이동, 빠르게",
Move keyboard cursor right,키보드 커서 오른쪽으로 이동,
Move keyboard cursor up,키보드 커서 위로 이동,
"Move view/cursor up, fast","시야/커서 위로 이동, 빠르게",
Move keyboard cursor up and right,키보드 커서 오른쪽 위로 이동,
"Macro, Load","매크로, 불러오기",
"Move keyboard cursor up, fast","키보드 커서 위로 이동, 빠르게",
"Move view/cursor up (z), fast","시야/커서 위로 이동 (z), 빠르게",
Command repeat prefix-key,명령 반복 접두사 키,
Move keyboard cursor up (z),키보드 커서 위로 이동 (z),
Move keyboard cursor down (z),키보드 커서 아래로 이동 (z),
"Move keyboard cursor up (z), aux","키보드 커서 위로 이동 (z), 보조",
"Move keyboard cursor down (z), aux","키보드 커서 아래로 이동 (z), 보조",
Adventure: move view/cursor up (z),모험: 시야/커서 위로 이동 (z),
Menu Confirm,메뉴 확인,
"Macro, Play","매크로, 재생",
"Adventure: move view/cursor down (z), fast","모험: 시야/커서 아래로 이동 (z), 빠르게",
Adventure: move view/cursor down (z),모험: 시야/커서 아래로 이동 (z),
"Adventure: move view/cursor up (z), fast","모험: 시야/커서 위로 이동 (z), 빠르게",
"Macro, Record","매크로, 기록",
