text,translation,tags
Prepare carefully embark confirmation,신중한 정착 준비 확인,
Autosave frequency,자동 저장 빈도,
Confirmation window for all embarks,모든 정착 시 확인 창 표시,
Show tunnels on world map,세계 지도에 터널 표시,
Autosave the game after embark,정착 후 게임 자동 저장,
Portable mode,휴대용 모드,
Pause after every autosave,모든 자동 저장 후 일시 정지,
Pause after loading,불러오기 후 일시 정지,
"Enable temperature","온도 활성화",
"If points remain","잔여 포인트가 있을 시",
"Semiannual","반년마다",
"Seasonal","계절마다",
"Yearly","매년",
"In site finder","거점 탐색기에서",
"Enable weather","날씨 활성화",
"Enable artifact moods","신비한 기분 활성화",
"Enable caveins","동굴 붕괴 활성화",
"Enable testing arena (on next title)","테스트 아레나 활성화 (다음 타이틀 화면에서)",
"Walking spreads spatter (fort mode)","보행 시 오염물 확산 (요새 모드)",
"Walking spreads spatter (adv mode)","보행 시 오염물 확산 (모험 모드)",
"Keyboard cursor enabled","키보드 커서 활성화",
"Never","안 함",
"Always","항상",
"Log world generation map rejects","세계 생성 지도 거부 기록",
"Enable multithreading","멀티스레딩 활성화",
"Default embark width","기본 정착지 너비",
"Default high traffic path cost","기본 '높음' 통행 우선순위 경로 비용",
"Default embark height","기본 정착지 높이",
"Default normal traffic path cost","기본 '보통' 통행 우선순위 경로 비용",
"Default low traffic path cost","기본 '낮음' 통행 우선순위 경로 비용",
"Default restricted traffic path cost","기본 '제한됨' 통행 우선순위 경로 비용",
"Storage path decrease (# of contained item cap)","저장 경로 감소 (보관된 아이템 수 상한)",
"Storage path decrease (seed bag combine)","저장 경로 감소 (씨앗 가방 병합)",
"Storage path decrease (barrel combine)","저장 경로 감소 (통 병합)",
"Storage path decrease (bucket combine)","저장 경로 감소 (양동이 병합)",
"Storage path decrease (bin combine)","저장 경로 감소 (보관함 병합)",
"Population cap","인구 상한",
"Strict population cap (includes births)","엄격한 인구 상한 (출산 포함)",
"Baby+child cap","유아+어린이 상한",
"Baby+child cap (percentage of total)","유아+어린이 상한 (전체 비율)",
"Visitor cap","방문객 상한",
"Cull dead units at","사망 유닛 정리 기준",
"Seed cap (per species)","씨앗 상한 (종별)",
"Total seed cap","전체 씨앗 상한",
"Engravings start obscured","조각이 가려진 채로 시작",
"Show improvement quality in item names","아이템 이름에 개량 품질 표시",
"Show numeric liquid levels","액체 수위 숫자로 표시",
"Show up/down arrows on ramps at current elevation","현재 고도의 경사로에 위/아래 화살표 표시",
"Number of lower elevation layers to show","표시할 하위 고도 층 수",
"Show all historical events in engravings etc.","조각 등에 모든 역사적 사건 표시",
"Nickname position (fort mode)","별명 위치 (요새 모드)",
"Replace first","이름 대체",
"Nickname position (adv mode)","별명 위치 (모험 모드)",
"Nickname position (legends mode)","별명 위치 (전설 모드)",
"Grazing coefficient (higher = less grass)","방목 계수 (높음 = 풀 소모 적음)",
"Replace all","전체 대체",
"Centralize","중앙 정렬",
"Show frames-per-second","초당 프레임(FPS) 표시",
"Game frames-per-second cap (default 100)","게임 FPS 상한 (기본 100)",
"Milliseconds for each key repeat","키 반복 간격 (ms)",
"Key hold milliseconds before repeat","키 반복 대기 시간 (ms)",
"Number of key repeats before accelerating","가속 전 키 반복 횟수",
"Maximum key repeat acceleration multiplier","최대 키 반복 가속 배수",
"Disabled","비활성화",
"Enabled","활성화",
"Enable","활성화",
"Milliseconds interface shutdown after recenter","화면 중앙 정렬 후 인터페이스 종료 시간 (ms)",
"Milliseconds between macro instructions","매크로 명령 간격 (ms)",
"Compressed saves (recommended!)","세이브 파일 압축 (권장!)",
"Maximum embark dimension","최대 정착지 크기",
"Display worn clothing dyes (fort mode)","착용 의류 염색 표시 (요새 모드)",
"Display worn clothing dyes (adv mode)","착용 의류 염색 표시 (모험 모드)",
"Classic varied ground tiles","클래식 다양화 지면 타일",
"Show rectangle dimensions","사각형 치수 표시",
"Horizontal keyboard scroll tiles","키보드 가로 스크롤 타일 수",
"Horizontal keyboard scroll tiles (fast)","키보드 가로 스크롤 타일 수 (빠름)",
"Vertical keyboard scroll tiles","키보드 세로 스크롤 타일 수",
"Vertical keyboard scroll tiles","키보드 세로 스크롤 타일 수",
"Vertical keyboard scroll tiles (fast)","키보드 세로 스크롤 타일 수 (빠름)",
"Horizontal keyboard scroll tiles (world)","세계 지도 키보드 가로 스크롤 타일 수",
"Horizontal keyboard scroll tiles (world, fast)","세계 지도 키보드 가로 스크롤 타일 수 (빠름)",
"Vertical keyboard scroll tiles (world)","세계 지도 키보드 세로 스크롤 타일 수",
"Vertical keyboard scroll tiles (world, fast)","세계 지도 키보드 세로 스크롤 타일 수 (빠름)",
