text,translation,tags
Continue active game,게임 계속하기,[ALIGNMENT:CENTER]
Start new game in existing world,기존 세계에서 새 게임 시작,[ALIGNMENT:CENTER]
Create new world,새 세계 생성,[ALIGNMENT:CENTER]
Object testing arena,오브젝트 테스트 아레나,[ALIGNMENT:CENTER]
Mods,모드,[ALIGNMENT:CENTER]
Settings,설정,[ALIGNMENT:CENTER]
About DF,DF 정보,[ALIGNMENT:CENTER]
Quit,종료,[ALIGNMENT:CENTER]
Welcome to Dwarf Fortress,드워프 포트리스에 오신 것을 환영합니다,[ALIGNMENT:CENTER]
Quit without saving,저장하지 않고 종료,[ALIGNMENT:CENTER]
Save and return to title menu,저장하고 타이틀 메뉴로 돌아가기,[ALIGNMENT:CENTER]
Abandon the fortress to ruin,이 요새를 버리기(폐허가 됨),[ALIGNMENT:CENTER]
Save and continue playing,저장하고 계속 플레이,[ALIGNMENT:CENTER]
Return to game,게임으로 돌아가기,[ALIGNMENT:CENTER]
Retire the fortress (for the time being),요새를 은퇴시키기(잠시),[ALIGNMENT:CENTER]
Dwarf Fortress,드워프 포트리스,[ALIGNMENT:CENTER]
Recent thoughts,최근 생각,
Memories,기억,
"Prepare to guide your stout charges to fortune in a world fraught with many perils. You'll begin by creating your world and watching the region's history unfold. Once this process is complete, you can prepare a group and send them out to seek wealth deep in the mountains. As you dig deeper and more citizens take up residence in your outpost, your doings will attract attention, both wanted and unwanted. Deal with challenges as they arise, and you might one day find that your humble settlement has grown to become a Mountainhome, the center of your civilization.",위험이 도사리는 세계에서 용감한 드워프들을 이끌어 운명을 향해 나아갈 준비를 하세요。먼저 세계를 생성하고 그 지역의 역사가 전개되는 모습을 지켜보게 됩니다。이 과정이 끝나면 무리를 꾸려 산맥 깊숙한 곳으로 보내 부를 찾아 나서게 할 수 있습니다。더 깊이 파고 더 많은 주민이 당신의 전초기지에 정착할수록 당신의 행동은 여러 이들의 관심을 끌게 됩니다，원하든 원치 않든。갑작스러운 도전에 맞서다 보면，언젠가 소박한 정착지가 마운틴홈으로 성장해，문명의 중심이 된 것을 발견하게 될지도 모릅니다。,
"Set tree chopping ",나무 베기 작업을 설정합니다。,
orders.,,
"Set plant gathering ",식물 채집 작업을 설정합니다。,
"Set wall smoothing, ",벽 다듬기，각인，궤도 새기기,
"engraving, track ",및 사격구 새기기 명령을 설정합니다。,
"carving, and ",,
fortification orders.,,
"Hotkey: ",단축키：,
"Remove mining, ",채굴，벌목，식물 채집 및,
"woodcutting, plant ",다듬기 명령을 취소합니다。,
"gathering, and ",,
smoothing orders.,,
"Place structures and ",건설 자재가 필요한 구조물과,
"work areas that require ",작업 구역을 배치합니다。,
construction materials.,,
"Place stockpiles for ",물품 보관을 위한 저장고를 배치합니다。,
item storage.,,
"Place zones to ",집회 구역，,
"establish meeting ",방목지와 기타 기능을 설정하기 위한 구역을 배치합니다。,
"areas, pastures, and ",,
more.,,
"Establish burrows to ",더 큰 요새에서 작업과,
