text,translation,tags
"Move the camera","화면 이동",
"Move the camera up","화면을 위로 이동",
"Move the camera down","화면을 아래로 이동",
"Place All stockpile","저장구역을 전체로 설정",
"Open building mode","건설 모드 열기",
"Place carpenter's workshop","목수 작업장 배치",
"Construct workshop","작업장 건설",
"Click workshop","작업장 클릭",
"Add a ""Make bed"" task","""침대 제작"" 작업을 추가",
"Place a bed","침대를 놓으십시오",
"Click a citizen or creature","시민 또는 생물을 클릭하십시오",
"Close the information sheet","정보창 닫기",
"Dismiss the large red alert","큰 빨간색 경고 해제",
"Click the help button","도움말 버튼을 클릭하세요",
"Okay","확인",
"Next","다음",

"Welcome to Dwarf Fortress","드워프 포트리스에 오신 것을 환영합니다",[ALIGNMENT:CENTER]
"Quick start and short tutorial?","빠른 시작과 짧은 튜토리얼을 진행하시겠습니까?",[ALIGNMENT:CENTER]

"Start tutorial","튜토리얼 시작",[ALIGNMENT:CENTER]
"Skip tutorial","튜토리얼 건너뛰기",[ALIGNMENT:CENTER]
"On your own!","스스로 해보세요!",[ALIGNMENT:CENTER]
"Camera controls","카메라 조작",
"Camera controls (1 of 8)","카메라 조작 (1 / 8)",[ALIGNMENT:CENTER]
"Mining","채굴",
"Mining (2 of 8)","채굴 (2 / 8)",[ALIGNMENT:CENTER]
"Stockpiles","저장 구역",
"Stockpiles (3 of 8)","저장 구역 (3 / 8)",[ALIGNMENT:CENTER]
"Woodcutting","벌목",
"Woodcutting (4 of 8)","벌목 (4 / 8)",[ALIGNMENT:CENTER]
"Building","건축 및 건설",
"Building (5 of 8)","건축 및 건설 (5 / 8)",[ALIGNMENT:CENTER]
"Information sheets","정보창",
"Information sheets (6 of 8)","정보창트 (6 / 8)",[ALIGNMENT:CENTER]
"Alerts","알림",
"Alerts (7 of 8)","알림 (7 / 8)",[ALIGNMENT:CENTER]
"Preparing for the caravan","카라반 준비",
"Preparing for the Caravan","카라반 준비",
"Preparing for the Caravan (8 of 8)","카라반 준비 (8 / 8)",[ALIGNMENT:CENTER]
"Just the beginning","이제 시작일 뿐입니다",[ALIGNMENT:CENTER]
"Interactive tutorial","대화형 튜토리얼",
"Information and guides","정보 및 가이드",
"[Viewed]","[열람함]",
"Popup: Burrows","팝업: 활동 구역",
"Popup: Hauling","팝업: 운반",
"Popup: Justice","팝업: 사법",
"Popup: Nobles","팝업: 귀족",
"Popup: Squads","팝업: 분대",
"Popup: Stocks","팝업: 재고",
"Popup: Work details","팝업: 작업 세부 사항",
"Popup: Work orders","팝업: 작업 명령",
"Popup: The world","팝업: 세계",
"Popup: Zones","팝업: 구역",
"The World","세계",
"Work orders","작업 명령",
"Survival","생존",
"Planting","농사",
"Other food sources","기타 식량원",
"Bins, bags, and barrels","보관함, 가방, 그리고 통",
"Trade","교역",
"Offices and administrative work","사무실 및 행정 업무",
"Ore and smelting","광석 및 제련",
"Traps and levers","함정과 레버",
"Wells","우물",
"Handling light aquifers","가벼운 대수층 대처",
"Clothing","의류",
"Meeting areas and locations","만남의 장소 및 위치",
"Military","군사",
"Ramps and channels","경사로 및 수로",
"Refuse and dumping","쓰레기 및 버리기",
"Dig deeper","더 깊이 파고들기",
"Happiness and stress","행복도와 스트레스",
"Goals","목표",
"Zoom in","확대",
"Zoom out","축소",
"Open mining mode","채굴 모드 열기",
"Start stairway","계단 시작",
"End stairway","계단 끝",
"Unpause","일시 정지 해제",
"Finish mining","채굴 완료",
"Room completed (","방 완성 (",
"Open stockpile mode","저장 구역 모드 열기",
