text,translation,tags
"Agreements","협정",[ALIGNMENT:CENTER]
"Events","사건",[ALIGNMENT:CENTER]
"People","인물",[ALIGNMENT:CENTER]
"Sites","장소",[ALIGNMENT:CENTER]
"Regions","지역",[ALIGNMENT:CENTER]
"Bestiary","동물 도감",[ALIGNMENT:CENTER]
"Visible: ","표시: "
"Not visible","보이지 않음"
"Companions","동료"
" Showing pin,last"," 고정 및 최근 순 표시"
" Showing type,date"," 유형 및 날짜 순 표시"
" Showing all"," 모두 표시"
" Showing important"," 중요 항목 표시"
"Speed: ","속도: "
"Climb","기어오르기"
"Fast Climb","빠르게 기어오르기"
"Faster Climb","더 빠르게 기어오르기"
"Slow Climb","느리게 기어오르기"
"Fast Flight","빠른 비행"
"Faster Flight","더 빠른 비행"
"Fly","비행"
"Hover","체공"
"Maximum Flight Speed","최대 비행 속도"
"Slow Flight","느린 비행"
"Creeping Swim","포복 수영"
"Fast Swim","빠른 수영"
"Faster Swim","더 빠른 수영"
"Maximum Swim Speed","최대 수영 속도"
"Slow Swim","느린 수영"
"Swim","수영"
"Canter","구보"
"Fast Walk","빠른 걷기"
"Faster Walk","더 빠른 걷기"
"Fastest Walk","가장 빠른 걷기"
"Gallop","전속력 달리기"
"Jog","가벼운 달리기"
"Run","달리기"
"Slow Walk","느린 걷기"
"Slowest Walk","가장 느린 걷기"
"Sprint","전력 질주"
"Stroll","산책"
"Stumble Bumble","비틀거리기"
"Trot","속보"
"Walk","걷기"
"Wamble","비틀거리며 걷기"

"Visual Stealth Factors","시각적 은신 요소"
"Darkness","어둠"
"Open Area","탁 트인 지역"
"No Suitable Vegetation","적절한 식생 없음"
"Average Non-Prone Profile","평균적인 선 자세"
"Visual Stealth (w/o Skill)","시각적 은신 (스킬 제외)"
"Quick movement and other actions decrease stealth.","빠른 움직임과 기타 행동은 은신 효과를 감소시킵니다."
" Swimming Preference"," 수영 선호도"
"When possible","가능할 때",[ALIGNMENT:CENTER]
"When necessary","필요할 때",[ALIGNMENT:CENTER]

"Select your combat preferences.","전투 선호도를 선택하십시오."
" Attack Preference"," 공격 선호도"
" Dodge Preference"," 회피 선호도"
" Charge Defense"," 돌진 방어"

"What do you want to do?","무엇을 하시겠습니까?"
"What do you want?","무엇을 원하십니까?"
"What do you want to know?","무엇을 알고 싶으십니까?"
"What will you say about the incident?","사건에 대해 어떻게 말씀하시겠습니까?"
"How will you ask?","어떻게 물으시겠습니까?"
"What will you say?","어떻게 말씀하시겠습니까?"
"How will you move?","어떻게 이동하시겠습니까?"
"Your inventory","당신의 소지품"
"Where would you like to move?","어디로 이동하시겠습니까?"
"Path to here","이쪽으로 경로 설정"
"Path to here (no climbing/jumping)","이쪽으로 경로 설정 (기어오르기/뛰기 제외)"
