text,translation,tags
"정보창 메뉴들","---------------------------------------------------------------",
"Thoughts","생각",
"Recent thoughts","최근 생각",
"Memories","기억",
"Health","건강",
"Items","아이템",
"Overview","개요",
"Skills","기술",
"Rooms","방",
"Relations","관계",
"Groups","집단",
"Personality","성격",
"Traits","특성",
"Values","가치관",
"Preferences","선호",
"Needs","욕구",
"Combat","전투",
"Knowledge","지식",
"Social","사교",
"Other skills","기타 기술",
"Status","상태",
"Wounds","부상",
"Description","설명",
"Squad","분대",
"Uniform","제복",
"Kills","처치 수",
"Treatment","치료",
"History","역사",
"Work details","작업 내용",
"Workshops","작업장",
"Locations","위치",
"Work animals","작업 동물",

"정보창 노동탭","----------------------------------------------------------------------------------------------",
"Will do available tasks anywhere","어디서나 가능한 작업을 수행합니다.",
"Will only do assigned tasks","배정된 작업만 수행합니다.",
"Cannot assign work details","작업 세부 정보를 할당할 수 없습니다.",
"No work details","작업 세부정보 없음",
"No dedicated workshop assignments","전용 작업장 배정하지 않음",
"No location assignments","위치 지정하지 않음",
"Miners","광부",
"Woodcutters","벌목꾼",
"Hunters","사냥꾼",
"Planters","농부",
"Fisherdwarves","드워프 낚시꾼",
"Plant gatherers","식물 채집꾼",
"Stonecutters","석재 가공사",
"Engravers","조각가",
"Haulers","운반꾼",
"Orderlies","잡역부",
"Siege operators","공성 작전병",

"정보창 방 에서 여러가지 방 상태","---------------------------------------------------------------",
"No assigned rooms","배정된 방 없음",
"Royal Mausoleum","왕실 영묘",
"Grand Mausoleum","웅장한 영묘",
"Mausoleum","영묘",
"Fine Tomb","좋은 무덤",
"Burial Chamber","묘실",
"Servant's Burial Chamber","하인 묘실",
"Grave","묘",
"No Tomb","무덤 없음",
"Royal Dining Room","왕실 식당",
"Grand Dining Room","웅장한 식당",
"Great Dining Room","훌륭한 식당",
"Fine Dining Room","좋은 식당",
"Decent Dining Room","괜찮은 식당",
"Dining Room","식당",
"Modest Dining Room","적당한 식당",
"Meager Dining Room","부실한 식당",
"No Dining Room","식당 없음",
"Royal Bedroom","왕실 침실",
"Grand Bedroom","웅장한 침실",
"Great Bedroom","훌륭한 침실",
"Fine Quarters","좋은 숙소",
"Bedroom","침실",
"Decent Quarters","괜찮은 숙소",
"Quarters","숙소",
"Modest Quarters","적당한 숙소",
"Meager Quarters","부실한 숙소",
"No Quarters","숙소 없음",
"Royal Throne Room","왕실 알현실",
"Opulent Throne Room","부유한 알현실",
"Throne Room","알현실",
"Splendid Study","화려한 서재",
"Decent Study","괜찮은 서재",
"Study","서재",
"Modest Study","적당한 서재",
"Meager Study","부실한 서재",
"No Study","서재 없음",


"Harrowed","괴롭힘",
"Haggard","매서운",
"Stressed","스트레스 받음",
"Starving","굶주림",
"Hungry","배고픔",
"Dehydrated","탈수증",
"Thirsty","목마름",
"Very drowsy","매우 졸림",
"Drowsy","졸림",
"Very hungry","매우 배고픔",
"Unconscious","의식없음",
"Paralyzed","마비됨",
"Partially paralyzed","부분적으로 마비됨",
"Sluggish","느릿느릿함",
"Stunned","기절함",
"Dizzy","어지러움",
"Exhausted","탈진함",
"Over-exerted","기진맥진",
"Tired","피로함",
