text,translation,tags
"Ask for a cease to hostilities","적대 행위 중지 요청하기",
"Demand that the listener yield","항복 요구하기",
"Express your emotions (new menu)","감정 표현하기 (새 메뉴)",
"Brag about your past violent acts","과거의 폭력적인 행동 자랑하기",
"Nevermind","관두기",
"Change the subject (new menu)","화제 바꾸기 (새 메뉴)",
"Say something general about your emotional state or thoughts","일반적인 감정 상태나 생각 말하기",
"Bring up specific incident or rumor (new menu)","특정 사건이나 소문 언급하기 (새 메뉴)",
"Ask how listener is feeling","기분이 어떤지 묻기",
"Inquire about any troubles","고민거리가 있는지 묻기",
"Ask for directions (new menu)","길 묻기 (새 메뉴)",
"Ask about somebody (new menu)","누군가에 대해 묻기 (새 메뉴)",
"Trade or settle debts","거래 또는 빚 청산하기",
"Exchange, give, take or show personal items","개인 소지품 교환, 제공, 취득 또는 보여주기",
"Ask favor, place request, make demand or issue order (new menu)","부탁, 요청, 요구 또는 명령하기 (새 메뉴)",
"Ask about the surrounding area","주변 지역에 대해 묻기",
"Express your emotions (new menu)","감정 표현하기 (새 메뉴)",
"State your values (new menu)","가치관 밝히기 (새 메뉴)",
"Comment on weather","날씨에 대해 이야기하기",
"Comment on natural surroundings","자연 환경에 대해 이야기하기",
"Make a flattering remark","칭찬하기",
"Try to calm the listener","진정시키려 시도하기",
"Tell a joke","농담하기",
"Accuse listener of being a night creature","밤의 생명체라고 비난하기",
"Inquire about listener's profession","직업에 대해 묻기",
"Ask about listener's family","가족에 대해 묻기",
"Say goodbye","작별 인사하기",
"Greet listener","인사하기",
"Bypass greeting (new menu)","인사 건너뛰기 (새 메뉴)",
"Investigate or interrogate (new menu)","조사 또는 심문하기 (새 메뉴)",
"Ask listener to join you (new menu)","동행을 요청하기 (새 메뉴)",
"Ask listener to wait here","여기서 기다리라고 부탁하기",
"Demand an item (barter screen)","물건 요구하기 (물물교환 화면)",
"Keywords: ","키워드: ",
"Toward you: ","당신에 대한 태도: ",
"General Mood: ","전반적인 기분: ",
"Relationship: ","관계: ",
"Ask about the listener's schemes and plots","계략과 음모에 대해 묻기",
"Ask about the listener's master or boss","주인이나 상관에 대해 묻기",
"Ask listener to join you on adventures","모험에 동행할 것을 요청하기",
"Ask listener to guide you to a location","특정 장소로 안내해 달라고 부탁하기",
"Ask listener to join you as entertainer","연예인으로 합류할 것을 요청하기",
"Ask about the local ruler","지역 통치자에 대해 묻기",
"Ask about this site's neighbors and trade partners","이 지역의 이웃과 무역 파트너에 대해 묻기",
"Claim this site for yourself (group naming menu)","이 장소를 자신의 영지로 선포하기 (집단 명명 메뉴)",
"Bring up the journey together","함께한 여정에 대해 이야기하기",
"Gift a (large) pet or mount (new menu)","(대형) 애완동물 또는 탈것 선물하기 (새 메뉴)",
"You: How's life here?","당신: 이곳 생활은 어떻습니까?",
"You: Tell me about armies on the march.","당신: 행군 중인 군대에 대해 말해주십시오.",
