text,translation,tags
Continue active game,진행 중인 게임 계속하기,[ALIGNMENT:CENTER]
Start new game in existing world,기존 세계에서 새 게임 시작,[ALIGNMENT:CENTER]
Create new world,새로운 세계 창조,[ALIGNMENT:CENTER]
Object testing arena,오브젝트 테스트 아레나,[ALIGNMENT:CENTER]
Mods,모드,[ALIGNMENT:CENTER]
Settings,설정,[ALIGNMENT:CENTER]
About DF,드워프 포트리스 정보,[ALIGNMENT:CENTER]
Quit,종료,[ALIGNMENT:CENTER]
Welcome to Dwarf Fortress,드워프 포트리스에 오신 것을 환영합니다,[ALIGNMENT:CENTER]
Quit without saving,저장하지 않고 종료,[ALIGNMENT:CENTER]
Save and return to title menu,저장하고 타이틀 메뉴로 돌아가기,[ALIGNMENT:CENTER]
Abandon the fortress to ruin,요새를 버리고 폐허로 남기기,[ALIGNMENT:CENTER]
Save and continue playing,저장하고 계속하기,[ALIGNMENT:CENTER]
Return to game,게임으로 돌아가기,[ALIGNMENT:CENTER]
Retire the fortress (for the time being),요새 운영에서 은퇴 (당분간),[ALIGNMENT:CENTER]
Dwarf Fortress,드워프 포트리스,[ALIGNMENT:CENTER]
"Fortress","요새",[ALIGNMENT:CENTER]
"Adventurer","모험가",[ALIGNMENT:CENTER]
"Legends","전설",[ALIGNMENT:CENTER]
"Back to title menu","타이틀 메뉴로 돌아가기",[ALIGNMENT:CENTER]
"Select a game type to begin!","시작할 게임 유형을 선택하세요!",[ALIGNMENT:CENTER]
"Okay","확인",[ALIGNMENT:CENTER]
Preparing map...,지도를 준비하는 중...,
Control panel,제어판,
Quickstart guide,빠른 시작 가이드,

"Embark with a group to start a settlement.","정착지를 건설하기 위해 일행과 함께 출발하십시오.",
"Your citizens will build, mine, craft, trade, ","시민들은 건설, 채굴, 제작, 교역,",
"fight, and manage as you guide your outpost ","전투, 관리를 수행하며 당신은 전초기지의",
"through its history.  Design the shape and ","역사를 이끌어 갑니다. 주민들이 따를 명령을 내려",
"purpose of the fortress by issuing orders for ","요새의 형태와 목적을",
"the residents to follow.","설계하십시오.",
"You can play a sequence of fortresses and ","동일한 세계에서 여러 요새와 모험가로",
"adventurers in the same world.  Migrants from ","연이어 플레이할 수 있습니다. 은퇴하거나",
"retired and abandoned fortresses may come to ","버려진 요새의 이주민들이 방문할 수 있으며,",
