text,translation,tags
"정착지 선택할때 발생하는 말","-------------------------------------------------------------------------------------",
"You have selected the largest possible area.","가능한 가장 큰 영역을 선택했습니다.",
"You have selected a very large area.","매우 넓은 영역을 선택했습니다.",
"You have selected a large area.","넓은 지역을 선택하셨습니다.",
"Choose a smaller area if you experience lag.","지연이 발생하면 더 작은 영역을 선택하십시오.",
"You have selected the smallest possible area.","가능한 가장 작은 영역을 선택했습니다.",
"You have selected a narrow area.","좁은 지역을 선택하셨습니다.",
"It might be difficult to find resources.","자원을 찾기 어려울 수 있습니다.",
"You have selected an area with salt water.","소금물이 있는 지역을 선택했습니다.",
"It might be very difficult to survive here.","이곳에서의 생존이 매우 어렵다는 것을 의미합니다.",
"You have selected an area with a heavy aquifer.","깊은 대수층이 있는 지역을 선택했습니다.",
"It might be very difficult to obtain stone here.","여기선 돌을 구하기 매우 어려울 수 있습니다.",
"You have selected an area with a light aquifer.","얕은 대수층이 있는 지역을 선택했습니다.",
"Water might need to be pumped out or carried away.","물을 퍼내거나 옮겨야 할 수도 있습니다.",
"Your selected civilization is dead or dying.","선택한 문명이 죽었거나 죽어가고 있습니다.",
"Your dwarves might assume important positions.","당신의 드워프는 중요한 직책을 맡을 수 있습니다.",
"You have selected an area near a necromancer's tower.","네크로맨서의 탑 부근 지역을 선택하였음.",
"You may be invaded very early by powerful foes.","초반부터 강력한 적들의 침략을 받을 수 있습니다.",
"Click ""Embark"" to place your fortress.  Right click to zoom out.","포트리스를 배치하려면 ""정착""을 클릭하십시오. 마우스 오른쪽 버튼을 클릭하면 축소됩니다.",
"Cannot embark on another site.","다른 거점에서는 시작할 수 없습니다.",
"Cannot embark entirely on water or mountains.","물이나 산으로만 이루어진 곳에 정착할 수 없습니다.",
"You have selected a savage area.","야생 지역을 선택했습니다.",
"The wildlife might be very dangerous here.","이곳의 야생동물은 매우 위험할 수 있습니다.",
"You have selected an evil area.","사악한 지역을 선택했습니다.",
"You may find very unpleasant environs here.","이곳의 환경은 매우 불쾌할 수 있습니다.",

"이것 저것 써놨지만 아닌것들도 있을지도","-------------------------------------------------------------------------------------",
"Confirm","확인",[ALIGNMENT:CENTER]
"Abort","취소",[ALIGNMENT:CENTER]
"Play now!","지금 시작!",[ALIGNMENT:CENTER]
"Start immediately with the default skills, equipment, and animals.","기본 기술, 장비, 동물을 가지고 즉시 시작합니다.",
"Prepare for the journey carefully","신중하게 여정 준비",
"Choose your own skills, equipment, and animals.","기술, 장비, 동물을 직접 선택합니다.",
"Return to title menu","타이틀 메뉴로 돌아가기",[ALIGNMENT:CENTER]
"Continue","계속하기",[ALIGNMENT:CENTER]
"Choose origin civilization","출신 문명 선택",
"Embark","정착하기",
"Show elevation","고도 표시",
"Show cliffs/grade","절벽/경사 표시",
"Click on the map to embark!  Right click to abort.","지도를 클릭하여 정착하십시오!  우클릭하면 취소됩니다.",
"Recommended size."," 권장 크기.",
"Click the map to zoom in and choose your embark location.","지도를 클릭하여 확대하고 정착 위치를 선택하십시오.",
"To recenter, press ","화면 이동을 하려면",
" or hold+drag the middle mouse button."," 혹은 마우스 가운데 버튼을 누르며 드래그 하십시오.",
"Minimum ","최저한의 ",
"Maximum ","최고 ",
" X-Variance"," X-분산",
" Y-Variance"," Y-분산",
"Evil","악",
" Deep"," 깊은",
" Some"," 약간",
" Little"," 작은",
"Searching ","수색 ",
"Stop","중지",
"No match.","일치하는 항목이 없음.",
"Match found!","일치하는 항목 발견!",
"Begin","시작",
"Unretire ","복귀 ",
"Reclaim ","탈환 ",
"Inhabited","거주중",
"Ruin","폐허",
"Unretire","복귀",
"Reclaim!","탈환!",
"King","왕",


"Preparing map...","지도 준비 중...",
"Could not give dwarf ","드워프를 줄 수 없습니다 ",
" skill: "," 기술: ",
"No dwarf in position ","위치에 드워프 없음 ",
"Cannot afford ","여유가 없다 ",
"  Prepare for the Expedition to "," 원정 준비 ",
"  Prepare for the Journey to "," 여행 준비 ",
"Prepare using a saved embark profile:","저장된 정착 프로필을 사용하여 준비합니다:",
"Embark preparations were not completed.","정착 준비가 완료되지 않았습니다.",
"Keep world and return to main menu","세계를 유지하고 메인 메뉴로 돌아가기",
"Use world now","지금 세계 사용",
"Continue generating","계속 생성",
"Must embark on map.","지도에 정착해야 합니다.",

"월드 생성시 오른 위 지형","---------------------------------------------------------------------------------------",
"X Dimension","가로 크기",
"Y Dimension","세로 크기",
"Spirit","초자연",
"Flux Stone Layer","플럭스 암석층",
"Aquifer (Light)","대수층(얕은)",
"Aquifer (Heavy)","대수층(깊은)",
"Underground River","지하 강",
"Underground Pool","지하 수영장",
"Magma Pool","마그마 풀",
"Magma Pipe","마그마 배관",
"Bottomless Pit","바닥 없는 구덩이",
"Other Features","다른 특징들",

"Rain","비",
"Elevation","고도",
"Rainfall","강우",
"Temperature","기온",
"Drainage","배수성",
"Volcanism","화산 활동",
"Savagery","야생도",
"Shallow Clay","얕은 점토",
"Shallow Sand","얕은 모래",
"Soil","토양",
"Little soil","얕은 토양",
"Some soil","보통 토양",
"Deep soil","깊은 토양",
"Very deep soil","매우 깊은 토양",
"Extremely deep soil","극도로 깊은 토양",
"Varied aquifer","다양한 대수층",
"Heavy aquifer","깊은 대수층",
"Light aquifer","얕은 대수층",
"Flux stone layer","플럭스 암석층",
"Find embark location","정착지 찾기",
"Reclaim/unretire","탈환/복귀",
"Temperature: ","온도: ",
"Trees: ","나무: ",
"Other Vegetation: ","기타 식생: ",
"Surroundings: ","주변 환경: ",
"Brook: ","실개천: ",
"Stream: ","개울: ",
"Serene","평온함",
"Calm","차분함",
"Sinister","불길함",
"Mirthful","명랑함",
"Wilderness","야생",
"Haunted","귀신 들림",
"Terrifying","끔찍함",
"climate","기후",
"Scorching","타는 듯함",
"Hot","뜨거움",
"Warm","따뜻함",
"Temperate","온화함",
"Cold","추움",
"Freezing","매우 추움",
"alignment","성향",
"Good","선함",
"Neutral","중립",
"Benign","온화함",
"Savage","야생적",
"tropical","열대",
"temperate","온대",
"Joyous Wilds","환희의 야생",
"Savage Wilds","흉포한 야생",
"Untamed Wilds","길들여지지 않은 야생",
"Rocky Wasteland","암석 황무지",
"Temperate Savanna","온대 사바나",
"Temperate Conifer Forest","온대 침엽수림",
"Temperate Broadleaf Forest","온대 활엽수림",
"Temperate Saltwater Marsh","온대 염수 습지",
"Temperate Freshwater Marsh","온대 담수 습지",
"Temperate Grassland","온대 초원",
"Tundra","툰드라",
"Glacier","빙하",
"Mountain","산악 지대",
"Badlands","악지",
"Sand Desert","모래 사막",
"Taiga","타이가",
"Mangrove Swamp","맹그로브 늪지",
"Tropical Ocean","열대 대양",
"Temperate Ocean","온대 대양",
"Tropical Shrubland","열대 관목지",
"Tropical Freshwater Swamp","열대 담수 늪지",
"Tropical Savanna","열대 사바나",
"Tropical Grassland","열대 초원",
"Tropical Freshwater Marsh","열대 담수 습지",
"Tropical Saltwater Marsh","열대 염수 습지",
"Tropical Freshwater Lake","열대 담수 호수",
"Tropical Coniferous Forest","열대 침엽수림",
"Tropical Dry Brdlf Forest","열대 건조 활엽수림",
"Tropical Brackish Lake","열대 기수 호수",
"Tropical Moist Brdlf Forst","열대 습윤 활엽수림",
"Temperate Freshwater Swamp","온대 담수 늪지",
"Temperate Saltwater Swamp","온대 염수 늪지",
"Tropical Saltwater Swamp","열대 염수 늪지",
"Temperate Shrubland","온대 관목지",
"Arctic Ocean","북극해",
"Temperate Freshwater Pool","온대 담수 웅덩이",
"Temperate Brackish Pool","온대 기수 웅덩이",
"Temperate Saltwater Pool","온대 염수 웅덩이",
"Tropical Freshwater Pool","열대 담수 웅덩이",
"Tropical Brackish Pool","열대 기수 웅덩이",
"Tropical Saltwater Pool","열대 염수 웅덩이",
"Temperate Freshwater Lake","온대 담수 호수",
"Temperate Brackish Lake","온대 기수 호수",
