text,translation,tags
"페이지1","----------------------------------------------------------------",
"Adventurer, choose your destiny!","  모험가여, 운명을 선택하십시오!",[ALIGNMENT:CENTER]
"Chosen","선택받은 자",
"For the most ","가장 많은 ",
"direction.  ","안내를 제공합니다",
"You'll have a ","당신은 ",
"supernatural ","초자연적인 ",
"parent or ","부모나 후원자가 ",
"patron who is ","항상 함께할 ",
"always involved.","것입니다.",
"For adventure.  ","모험을 위해.",
"Information and ","정보와 추종자를",
"followers are ","더 쉽게",
"easier to ","얻을 수 있으며,",
"obtain, and a ","나침반이 당신을 ",
"compass guides ","안내합니다.",
"you.","",
"Ordinary","평범한 자",
"For the most ","가장 많은",
"freedom.  All ","자유를 제공합니다. ",
"features are ","모든 기능에 접근할 수",
"accessible but "," 있지만 당신은 ",
"you'll receive ","어떤 안내도 받지 ",
"no direction.","못할것 입니다.",
"Chosen mode is ","선택받은 자 모드는 ",
"only available ","발달한 종교가 있는 ",
"in worlds with ","세계에서만 ",
"developed ","이용 가능합니다. ",
"religions.  ","",
"There are no ","이용 가능한 ",
"temples ","사원이 없습니다. ",
"available.  Try ","더 오래된 ",
"an older world.","세계에서 시도해 보세요.",
"Easy difficulty","쉬움 난이도",[ALIGNMENT:CENTER]
"Normal difficulty","보통 난이도",[ALIGNMENT:CENTER]
"Hard difficulty","어려움 난이도",[ALIGNMENT:CENTER]
"Difficulty only ","난이도는 오직",
"affects ","시작 기술과",
"starting skills ","장비에만 영향을",
"and equipment.","줍니다.",
"Include tutorial","  튜토리얼 포함",[ALIGNMENT:CENTER]
"(Any unretired characters in your party will be unaffected.)","  (파티에 있는 은퇴하지 않은 캐릭터는 영향을 받지 않습니다.)",[ALIGNMENT:CENTER]
"Onward to character creation","캐릭터 생성으로 이동",[ALIGNMENT:CENTER]
"Attribute points: ","속성 포인트:",
"Skill points: ","기술 포인트:",
"Equipment/pet points: ","장비/동물 포인트: ",

"페이지2","----------------------------------------------------------------",
"Create Your Character","캐릭터 생성",
"Elf","엘프",
"Human","인간",
"Goblin","고블린",
"Dwarf","드워프",
"Dwarves live in the indicated locations above.","드워프는 위에서 표시된 위치에 거주합니다.",
"A short, sturdy creature fond of drink and industry.","술과 산업을 좋아하는 작고 튼튼한 생명체입니다.",
"Goblins live in the indicated locations above.","고블린은 위에서 표시된 위치에 거주합니다.",
"A medium-sized humanoid driven to cruelty by its evil nature.","사악한 본성으로 인해 잔인함에 이끌리는 중간 크기의 인간형 생명체입니다.",
"Humans live in the indicated locations above.","인간은 위에서 표시된 위치에 거주합니다.",
"A medium-sized creature prone to great ambition.","거대한 야망을 품기 쉬운 중간 크기의 생명체입니다.",
"Elves live in the indicated locations above.","엘프는 위에서 표시된 위치에 거주합니다.",
"A medium-sized creature dedicated to the ruthless protection of ","자연의 무자비한 보호에 헌신하는 중간 크기의 ",
"nature.","생명체입니다.",
"Back to difficulty selection","난이도 선택으로 돌아가기 ",
