text,translation,tags
Continue active game,继续游戏,[ALIGNMENT:CENTER]
Start new game in existing world,在现有的世界中开始新游戏,[ALIGNMENT:CENTER]
Create new world,创建新的世界,[ALIGNMENT:CENTER]
Object testing arena,目标测试竞技场,[ALIGNMENT:CENTER]
Mods,模组,[ALIGNMENT:CENTER]
Settings,设置,[ALIGNMENT:CENTER]
About DF,关于DF,[ALIGNMENT:CENTER]
Quit,退出,[ALIGNMENT:CENTER]
Welcome to Dwarf Fortress,欢迎来到矮人要塞,[ALIGNMENT:CENTER]
Quit without saving,不保存退出,[ALIGNMENT:CENTER]
Save and return to title menu,保存并退回主菜单,[ALIGNMENT:CENTER]
Abandon the fortress to ruin,废弃这座要塞(将变成废墟),[ALIGNMENT:CENTER]
Save and continue playing,保存并继续游戏,[ALIGNMENT:CENTER]
Return to game,返回游戏,[ALIGNMENT:CENTER]
Retire the fortress (for the time being),退休这个要塞(暂时),[ALIGNMENT:CENTER]
Dwarf Fortress,矮人要塞,[ALIGNMENT:CENTER]
Recent thoughts,当前想法,
Memories,记忆,
"Prepare to guide your stout charges to fortune in a world fraught with many perils. You'll begin by creating your world and watching the region's history unfold. Once this process is complete, you can prepare a group and send them out to seek wealth deep in the mountains. As you dig deeper and more citizens take up residence in your outpost, your doings will attract attention, both wanted and unwanted. Deal with challenges as they arise, and you might one day find that your humble settlement has grown to become a Mountainhome, the center of your civilization.",准备好引导你勇敢的矮人们在危机四伏的世界中走向命运吧。你将生成一个世界并观察其中的历史演变。在该过程完成后，你就可以组建一支队伍并派遣他们进入群山深处以寻求财富。随着挖掘的深入和更多的居民加入你的哨所，你的所作所为将吸引各方注意，无论你意愿如何。应对突如其来的挑战，也许某一天你会发现你那简陋的定居点已然发展为一座山地之家，并成为母文明的中心。,
"Set tree chopping ","设置树木砍伐任务。",
"orders.","",
"Set plant gathering ","设置植物采集任务。",
"Set wall smoothing, ","设置墙壁打磨，雕刻，轨道凿刻",
"engraving, track ","和垛口凿刻命令。",
"carving, and ","",
"fortification orders.","",
"Hotkey: ","快捷键：",
"Remove mining, ","取消挖掘，伐木，植物采集以及",
"woodcutting, plant ","打磨命令。",
"gathering, and ","",
"smoothing orders.","",
"Place structures and ","放置那些需要建筑材料的结构和",
"work areas that require ","工作场所。",
"construction materials.","",
"Place stockpiles for ","放置储存处以供物品储存。",
"item storage.","",
"Place zones to ","放置功能区用以设立集会区域，",
"establish meeting ","放牧和其他功能。",
"areas, pastures, and ","",
"more.","",
"Establish burrows to ","设立活动区用以在更大的要塞组",
"organize work and ","织工作和生活空间。",
"living spaces in larger ","",
"fortresses.","",
"Set hauling routes for ","设置矿车的运输路线。",
"minecarts.","",
"Set high and low ","设置高、低优先级通行区域。",
"traffic areas.","",
"Designate items for ","指定物品进行丢弃和熔炼，启用",
"dumping and melting, ","被禁用的物品和建筑，以及设置",
"claim forbidden items ","物品的可见性。",
"and buildings, and set ","",
"item visibility.","",
"Link a stockpile to ","",
"this stop.  Citizens ","",
"will haul items to and ","",
"from the minecart as ","",
"you specify.  Items for ","",
"the minecart must be ","将这个站点链接到一个储存处。",
"specified using the ","居民将根据你的设定给矿车装卸",
"desired items button to ","物品。装载给矿车的物品还需在",
"the left.","左边的所需按钮里进行额外设置。",
"Most tasks in the ","要塞里的绝大部分工作都在工坊",
"fortress are started ","里启动与完成。工作通常需要原",
"and completed at ","材料。大部分工坊都是由岩块、",
"workshops.  Tasks ","砖块或木头所建筑的。",
"generally require raw ","",
"materials and most ","",
"workshops are ","",
"constructed from ","",
"boulders, blocks, or ","",
"Open the nobles and ","打开贵族与官员目录。",
"administrators menu.","",
"Open the work orders ","打开工作订目录。",
"menu.","",
"Open the place ","打开地点信息目录。",
"information menu.","",
"Open the task ","打开任务信息目录。",
"Open the citizen ","打开居民信息目录",
"Open the labor menu.","打开工作目录。",
"Open the objects menu.","打开物品目录。",
"Open the justice menu.","打开司法目录。",
"Open the squad sidebar.","打开军队侧边栏。",
"Open the world screen.","打开世界界面。",
"Set digging orders.","设置挖掘命令。",
"Dig a regular hallway ","挖掘常规走廊或房间。如果没有",
"or room.  Assign a ","矿工，可以在工作目录中指派一",
"miner to the work ","名矿工。矿工需要一把镐子以开",
"detail if necessary.  ","始工作。",
"The miner requires a ","",
"pick.","",
"Dig a stairwell on this ","在这个高度挖掘一个向上或向下",
"level, going up or ","的楼梯井。你的操作必须跨越多",
"down.  Your selection ","个高度。点击一个格子、改变高",
"must span multiple ","度、然后再次点击。",
"elevations.  Click on a ","",
"tile, change ","",
"elevations, and click ","",
"again.","",
"Dig a ramp on this ","在这个高度挖掘一个向上的坡。",
"level, going up.","",
"Dig a channel, making a ","挖掘一个渠,并在低一格的高度创",
"ramp on the level below.","建一个坡。",
"Designate constructed ","指定已建造的墙壁、地板及其他",
"walls, floors, and ","已建造的砖块由矿工拆除。此操",
"other constructed tiles ","作也将指定所有楼梯井和坡道。",
"to be removed by ","",
"miners.  This also ","",
"designates all ","",
"stairwells and ramps.","",
"Left click to choose ","左键点击以选择矩形的一角。",
"corners of a rectangle.","",
"Hold left button to ","按住左键进行绘制。",
"draw.","",
"Dig only ore and gems ","　　仅挖掘选中的矿石和宝石，",
"selected, and automine ","并自动开采新露出的同类型矿石",
"any ore and gems of the ","与宝石。",
"same type which are ","",
"uncovered.","",
"Dig only ore and gems ","仅挖掘选中的矿石和宝石。",
"selected","",
"Selected tiles are very ","",
"high priority.","所选区域将被设为最高优先级。",
"low priority.","所选区域将被设为最低优先级。",
"Selected tiles are high ","所选区域将被设为高优先级。",
"Selected tiles are low ","所选区域将被设为低优先级。",
"priority.","",
"Selected tiles are ","",
"high-medium priority.","所选区域将被设为中高优先级。",
"medium priority. ","所选区域将被设为中优先级。",
"medium-low priority.","所选区域将被设为中低优先级。",
"[DEFAULT]","　　　　[默认设置]",
"Change to ","切换到仅放置显示蓝图模式。",
"blueprint-only mode.","",
"Change to standard dig ","切换到标准挖掘模式。",
"mode.","",
"Change blueprints to ","将蓝图切换为标准选择模式。",
"standard selections.","",
"Change standard ","将标准选择切换为",
"selections to ","蓝图模式。",
"blueprints.","",
"Finish setting dig ","结束挖掘设置",
"Finish setting tree ","结束设置树木砍伐任务",
"chopping orders.","",
"orders.  Select the ","选择树木的基部，以便伐木工能",
"base of the tree so ","够抵达。如果没有伐木工，可以",
"that the woodcutter can ","在工作目录中指派一名伐木工执",
"reach it.  Assign a ","行此项工作。",
"woodcutter to the work ","伐木工需要一把斧子以开",
"The woodcutter requires ","",
"an axe.","",
"Finish setting plant ","结束设置植物采集任务",
"gathering orders.","",
"Finish setting wall ","结束设置墙壁指令",
"Smooth a rough wall to ","将粗糙的墙面打磨平整，让居民",
"make it more pleasing ","更加满意。也为墙面的雕刻或加",
"to your citizens.  This ","固做好准备。",
"also prepares the wall ","",
"for engraving or ","",
"fortification.","",
"Engrave artwork into a ","将艺术作品雕刻在平滑的墙面上。",
"smooth wall.","",
"Carve a track in a ","在石制地板上刻划一条轨道，用",
"stone floor.  Tracks ","于装载已设置路线的矿车。",
"are used by minecarts ","",
"with routes set in the ","",
"hauling menu.","",
"Carve a gap in a smooth ","在光滑的墙面上凿一个缺口，让",
"wall to allow your ","你的弓箭手向敌人射箭。",
"archers to fire upon ","",
"invaders.","",
"Finish removing mining ","结束清除挖掘等指令。",
"etc. orders.","",
"Finish placing ","",
"structures.","结束放置结构。",
"These workshops are ","这些工坊被用于包括染色和纺织",
"used in the ","以及使用鞣制皮革的服装制作工",
"clothesmaking process, ","序。",
"whether dyeing and ","",
"weaving or using tanned ","",
"hides.","",
"Use leather tanned at ","在此使用制革作坊鞣制的皮革来",
"the tanner's shop here ","制作衣物和工具(例如袋子和水囊)。",
"to make clothing and ","",
"tools, such as bags and ","",
"waterskins.","",
"Here you can turn ","在此可以将线织成布，无论是来",
"thread into cloth, ","自农业工坊的线，还是地下收集",
"whether it is thread ","的蛛丝。",
"from the farmer's ","",
"workshop or spider silk ","",
"gathered underground.","",
"Make cloth into ","在此将布料制成衣物和工具(例如",
"clothing and tools ","袋子和绳索)。",
"here, such as bags and ","",
"ropes.","",
"Use dyes here to color ","在此使用染料为线和布料染色。",
"thread and cloth.  ","建造时需要圆桶和提桶。",
"Requires a barrel and ","",
"bucket for construction.","",
"A wide variety of ","此类别包含多种与食品和酒水相",
"food-and-drink-related ","关的工坊。",
"workshops can be found ","",
"in this category.","",
"Plant crops at the ","在农田种植作物。你需要种子或",
"farmplot.  You will ","孢子，并且必须按季节选择作物。",
"need seeds or spawn and ","作物可用钾肥施肥。地下深处的",
"must select crops by ","土壤更肥沃。",
"season.  Crops can be ","",
"fertilized with potash. ","",
"Soil is richer deeper ","",
"underground.","",
"Brew alcohol from ","用植物、水果或蜂蜜酿造酒精饮",
"plants, fruit, or honey.","料。",
"Slaughter livestock ","在此屠宰牲畜以获取肉类、毛皮、",
"here in order to obtain ","骨头和其他动物产品。",
"meat, hides, bones, and ","",
"other animal products.","",
"Make leather from ","在此将动物毛皮制成皮革。你也",
"animal hides here.  You ","可以使用石灰乳和毛皮制作羊皮纸。",
"can also make parchment ","",
"using milk of lime and ","",
"a hide.","",
"Process raw fish into ","在此将生鱼加工成可食用的食物。",
"edible food here.  Raw ","未加工的生鱼不会被食用。",
"fish will not be eaten.","",
"Cook meals here.  You ","在此烹饪餐食。你也可以将脂肪",
"can also render fat ","提炼成动物油脂。",
"into tallow.","",
"Process plants and work ","在此加工植物和照料牲畜。挤奶、",
"with livestock here.  ","剪毛、制作奶酪以及将毛团纺成",
"Milk and shear animals, ","细线。",
"make cheese, and spin ","",
"thread.","",
"Make sugar, flour, and ","在此制作糖、面粉和各种有用的",
"various useful slurries ","浆糊。与动力磨石相比，任务完",
"here.  Tasks are ","成速度非常慢。",
"completed very slowly ","",
"compared to the powered ","",
"millstone.","",
"Capture and train small ","在此捕获和训练小动物。需要动",
"animals here.  Requires ","物陷阱。",
"animal traps.","",
"When placed, a female ","放置后，如果有可用的雌鸟，它",
"bird will claim the box ","会占据箱子并开始产蛋。",
"and start laying eggs, ","",
"if one is available.","",
"Keep a colony of ","在蜂箱饲养蜂巢。蜂箱放置后必",
"insects at your hives.  ","须收集野生蜂巢，或者可以从现",
"A wild colony must be ","有蜂箱蜂巢中分蜂。",
"collected after the ","",
"hive is placed, or a ","",
"colony can be split ","",
"from an existing hive ","",
"colony.","",
"Furnaces are used for ","熔炉用于冶炼、玻璃制造、陶器",
"smelting, glassmaking, ","制作、制灰，或从木材或原煤制",
"pottery, ashmaking, or ","造燃料。熔炉需要燃料才能运作，",
"to make fuel from wood ","有些则需要设置在岩浆上方以代",
"or raw coal.  Furnaces ","替燃料。",
"require fuel to ","",
"function, or they can ","",
"be set above magma.","",
"Bake clay objects here, ","在此烘烤黏土制品以及其他一些",
"as well as a few other ","有用材料。如果你有黏土收集区，",
"useful materials.  Clay ","也可在此收集黏土。",
"can also be collected ","",
"here if you have a clay ","",
"collection zone.  All ","",
"tasks require fuel ","收集黏土外，所有任务都需要",
"aside from clay ","燃料。",
"collection.","",
"You can make a variety ","你可以使用三种不同类型的玻璃",
"of objects using three ","制造各种物品。如果你有沙收集",
"different types of ","区，也可在此发起任务以用袋子",
"glass.  You can also ","收集沙子。",
"collect sand in bags ","",
