text,translation,tags
"Economy:","경제:",
"Normal","보통",
"Hard","어려움",
"Custom settings","사용자 지정 설정",
"(Custom)","(사용자 지정)",
"Enemies:","적:",
"Werebeasts can attack","웨어비스트 공격 허용",
"Civilizations can attack","문명 공격 허용",
"Enemy population trigger 5","적 침입 인구 조건 5",
"Enemy population trigger 4","적 침입 인구 조건 4",
"Enemy population trigger 3","적 침입 인구 조건 3",
"Enemy population trigger 2","적 침입 인구 조건 2",
"Enemy population trigger 1","적 침입 인구 조건 1",
"Curious wilderness creatures can come to cause trouble","호기심 많은 야생 생물이 문제를 일으킬 수 있음",
"Megabeasts can attack","거대수 공격 허용",
"Enemy production trigger 5","적 침입 생산 조건 5",
"Enemy production trigger 4","적 침입 생산 조건 4",
"Enemy production trigger 3","적 침입 생산 조건 3",
"Enemy production trigger 2","적 침입 생산 조건 2",
"Enemy production trigger 1","적 침입 생산 조건 1",
"Enemy trade trigger 5","적 침입 무역 조건 5",
"Enemy trade trigger 4","적 침입 무역 조건 4",
"Enemy trade trigger 3","적 침입 무역 조건 3",
"Enemy trade trigger 2","적 침입 무역 조건 2",
"Enemy trade trigger 1","적 침입 무역 조건 1",
"Load saved settings","저장된 설정 불러오기",
"Save settings","설정 저장",
"Apply saved settings for new embarks:","새로운 정착 시 저장된 설정 적용:",
"Off","끄기",
"Megabeast attack period (seasons)","거대수 공격 주기 (계절)",
"Forgotten beast sensitivity (less = sooner)","잊혀진 짐승 민감도 (낮을수록 빠름)",
"Forgotten beast irritation minimum (less = sooner)","잊혀진 짐승 자극 최소치 (낮을수록 빠름)",
"Forgotten beast wealth divisor (more = safer)","잊혀진 짐승 부(富) 제수 (높을수록 안전)",
"Wilderness irritation minimum (less = sooner)","야생 자극 최소치 (낮을수록 빠름)",
"Wilderness sensitivity (less = sooner)","야생 민감도 (낮을수록 빠름)",
"Wilderness irritation decay (more = safer)","야생 자극 감소 (높을수록 안전)",
"Werebeast attack period (seasons)","웨어비스트 공격 주기 (계절)",
"Vampire migrant fraction (more = safer)","뱀파이어 이주민 비율 (높을수록 안전)",
"Invasion creature cap (excluding mounts)","침략 생물 수 제한 (탈것 제외)",
"Invasion difficulty (second)","침략 난이도 (2단계)",
"Invasion difficulty (third)","침략 난이도 (3단계)",
"Invasion difficulty (first)","침략 난이도 (1단계)",
"Invasion difficulty (fourth+ scaling)","침략 난이도 (4단계+ 스케일링)",
"Minimum raids before first siege (per civ)","첫 공성 발생 전 최소 습격 횟수 (문명별)",
"Minimum raids between sieges (per civ)","공성 사이 최소 습격 횟수 (문명별)",
"Cavern dweller scale (increase per attack)","동굴 거주자 규모 (공격 시 증가량)",
"Cavern dweller maximum attackers","동굴 거주자 최대 공격자 수",
"Siege frequency (percentage, otherwise raid)","공성 발생 비율 (백분율, 나머지는 습격)",
"Diplomacy tree-fell count","외교 벌목 허용량",
"Invaders can break constructed walls","침략자가 건설된 벽을 파괴할 수 있음",
"Diplomacy tree-fell count (untamed wilds)","외교 벌목 허용량 (길들여지지 않은 야생)",
