text,translation,tags
"Random seed","무작위 시드",
"Choose or create a parameter set to make a custom world.","사용자 지정 세계를 만들기 위해 매개변수 세트를 선택하거나 생성하세요.",
"Load","불러오기",
"Width","너비",
"New parameter set","새 매개변수 세트",
"Height","높이",
"Basic options","기본 옵션",
"Save","저장",
" Seed"," 시드",
"Delete","삭제",
"Use Name Seed","이름 시드 사용",
"Site Cap After Civ Creation","문명 생성 후 거점 상한",
"Copy","복사",
"Custom world name","사용자 지정 세계 이름",
"Random","무작위",
"Use History Seed","역사 시드 사용",
"None","없음",
"Percentage Beasts Dead For Stoppage","중단을 위한 야수 사망 비율",
"Embark Points","정착 점수",
"End Year","종료 연도",
"Population Cap After Civ Creation","문명 생성 후 인구 상한",
"Year to Begin Checking Megabeast Percentage","거대 야수 비율 확인 시작 연도",
"Use Seed","시드 사용",
"Use Creature Seed","생물 시드 사용",
"Cull Unimportant Historical Figures","중요하지 않은 역사적 인물 제거",
"Seed text","시드 텍스트",
"Reveal All Historical Events","모든 역사적 사건 공개",
"Minimum Elevation","최소 고도",
"Maximum Elevation","최대 고도",
"Elevation X-Variance","고도 X-변화량",
"Elevation Y-Variance","고도 Y-변화량",
"Minimum Rainfall","최소 강우량",
"Maximum Rainfall","최대 강우량",
"Rainfall X-Variance","강우량 X-변화량",
"Rainfall Y-Variance","강우량 Y-변화량",
"Minimum Temperature","최저 기온",
"Maximum Temperature","최고 기온",
"Temperature X-Variance","기온 X-변화량",
"Temperature Y-Variance","기온 Y-변화량",
"Minimum Drainage","최소 배수",
"Drainage X-Variance","배수 X-변화량",
"Maximum Drainage","최대 배수",
"Drainage Y-Variance","배수 Y-변화량",
"Minimum Volcanism","최소 화산 활동",
"Maximum Volcanism","최대 화산 활동",
"Volcanism Y-Variance","화산 활동 Y-변화량",
"Volcanism X-Variance","화산 활동 X-변화량",
"Minimum Savagery","최소 야생도",
"Savagery X-Variance","야생도 X-변화량",
"Maximum Savagery","최대 야생도",
"Savagery Y-Variance","야생도 Y-변화량",
"Ignore","무시",
"Elevation Mesh Size","고도 메쉬 크기",
" Elevation Weighted Range (0-20)"," 고도 가중 범위 (0-20)",
" Elevation Weighted Range (20-40)"," 고도 가중 범위 (20-40)",
" Elevation Weighted Range (40-60)"," 고도 가중 범위 (40-60)",
" Elevation Weighted Range (60-80)"," 고도 가중 범위 (60-80)",
" Elevation Weighted Range (80-100)"," 고도 가중 범위 (80-100)",
"Rain Mesh Size","강우 메쉬 크기",
" Rain Weighted Range (0-20)"," 강우 가중 범위 (0-20)",
" Rain Weighted Range (20-40)"," 강우 가중 범위 (20-40)",
" Rain Weighted Range (40-60)"," 강우 가중 범위 (40-60)",
" Rain Weighted Range (80-100)"," 강우 가중 범위 (80-100)",
"Drainage Mesh Size","배수 메쉬 크기",
" Rain Weighted Range (60-80)"," 강우 가중 범위 (60-80)",
" Drainage Weighted Range (20-40)"," 배수 가중 범위 (20-40)",
" Drainage Weighted Range (40-60)"," 배수 가중 범위 (40-60)",
" Drainage Weighted Range (0-20)"," 배수 가중 범위 (0-20)",
"Savagery Mesh Size","야생도 메쉬 크기",
" Drainage Weighted Range (80-100)"," 배수 가중 범위 (80-100)",
" Savagery Weighted Range (20-40)"," 야생도 가중 범위 (20-40)",
" Drainage Weighted Range (60-80)"," 배수 가중 범위 (60-80)",
" Savagery Weighted Range (0-20)"," 야생도 가중 범위 (0-20)",
" Savagery Weighted Range (40-60)"," 야생도 가중 범위 (40-60)",
" Savagery Weighted Range (60-80)"," 야생도 가중 범위 (60-80)",
" Savagery Weighted Range (80-100)"," 야생도 가중 범위 (80-100)",
"Temperature Mesh Size","기온 메쉬 크기",
" Temperature Weighted Range (0-20)"," 기온 가중 범위 (0-20)",
" Temperature Weighted Range (20-40)"," 기온 가중 범위 (20-40)",
" Temperature Weighted Range (40-60)"," 기온 가중 범위 (40-60)",
" Temperature Weighted Range (60-80)"," 기온 가중 범위 (60-80)",
" Temperature Weighted Range (80-100)"," 기온 가중 범위 (80-100)",
"Volcanism Mesh Size","화산 활동 메쉬 크기",
" Volcanism Weighted Range (0-20)"," 화산 활동 가중 범위 (0-20)",
" Volcanism Weighted Range (20-40)"," 화산 활동 가중 범위 (20-40)",
" Volcanism Weighted Range (40-60)"," 화산 활동 가중 범위 (40-60)",
" Volcanism Weighted Range (60-80)"," 화산 활동 가중 범위 (60-80)",
" Volcanism Weighted Range (80-100)"," 화산 활동 가중 범위 (80-100)",
"North and/or South","북쪽 및/또는 남쪽",
"Pole","극지",
"North or South","북쪽 또는 남쪽",
"North and South","북쪽 및 남쪽",
"South","남쪽",
"North","북쪽",
"Minimum Mountain Peak Number","최소 산봉우리 수",
"Minimum Complete Edge Oceans","최소 완전 가장자리 바다",
"Minimum Partial Edge Oceans","최소 부분 가장자리 바다",
"Minimum Volcano Number","최소 화산 수",
"Mineral Scarcity (Low = More minerals)","광물 희귀도 (낮음 = 광물 많음)",
"Max Megabeast Caves","최대 거대 야수 동굴",
"Max Semimegabeast Caves","최대 준거대 야수 동굴",
"Titan Number","타이탄 수",
"Titan Attack Exported Wealth Rating","타이탄 공격 수출 자산 등급",
"Titan Attack Created Wealth Rating","타이탄 공격 생성 자산 등급",
"Titan Attack Population Rating","타이탄 공격 인구 등급",
