text,translation,tags
"Open the general search","전역 검색 및 ",
"and zoom interface.","확대 인터페이스를 엽니다.",

"Add new work detail","새 작업 세부사항 추가",[ALIGNMENT:CENTER]
"Reset to default","기본 설정으로 초기화",[ALIGNMENT:CENTER]
"Everybody does this","모두가 이 작업을 수행",[ALIGNMENT:CENTER]
"Only selected do this","선택된 이들만 이 작업을 수행",[ALIGNMENT:CENTER]
"Nobody does this","아무도 안함",[ALIGNMENT:CENTER]

"Pickup equipment","장비 챙기기",
"No job","작업 없음",
"Domesticated","길들여짐",
"Uninterested in an owner","주인에게 관심 없음",
"Unavailable as pet","애완동물로 분양 불가",
"Assign a trainer to ","이 생명체에 조련사를 ",
"this creature.","배정합니다.",
"Any trainer","아무 조련사",
"Any unassigned trainer","배정되지 않은 아무 조련사",
"Trainer:","조련사:",
"Available as pet","애완동물로 분양 가능",
"Ready for slaughter","도축 준비 완료",
"Autoretrain livestock:","가축 자동 재훈련:",

"Automated workshops","자동화 작업장",
"Standing orders","상시 명령",
"Economic stone","경제 석재",
"Select to use in non-economic jobs.","비경제적 작업에 사용하려면 선택하세요.",
"Stone type","석재 종류",
"Magma-safe","마그마 안전",
"Economic uses","경제적 용도",
"Sieges and forbidding","공성 및 금지",
"Forbidding of death objects occurs at time of death.","사망과 동시에, 시신 관련 물품들이 금지 상태로 설정됩니다.",
"There are no children","잡일을 할 아이들이",
"to do your chores.","없습니다.",
"Chores","잡무",
"Hauling","운반",

"Open cases","진행 중인 사건",
"Closed cases","종결된 사건",
"Cold cases","미해결 사건",
"Fortress guard","요새 경비병",
"Convicts","수감자",
"Intelligence","첩보",
"Interrogations","심문",
"Actors","배우",
"Organizations","조직",
"Plots","음모",

"There is no intelligence information yet.","아직 수집된 정보가 없습니다.",
"If a crime involves a conspiracy, an interrogation may reveal the plot.","범죄에 음모가 연루된 경우, 심문을 통해 그 책략을 밝혀낼 수 있습니다.",
"No sentence pending.","대기 중인 형벌이 없습니다.",
"Violation of production order","생산 명령 위반",
"Interrogate","심문하기",[ALIGNMENT:CENTER]
"Convict","유죄 판결",[ALIGNMENT:CENTER]
"No witnesses.","목격자가 없습니다.",

"A manager is required to coordinate","작업을 조율하려면 관리자가 필요합니다.",
"You do not have any zones.","지정된 구역이 없습니다.",
"Zones can be added using the zone menu at the bottom of the screen.","구역은 화면 하단의 구역 메뉴를 사용하여 추가할 수 있습니다.",
"You do not have any locations.","지정된 장소가 없습니다.",
"Locations can be created from zones.","장소는 구역에서 생성할 수 있습니다.",
"You do not have any stockpiles","저장 구역이 없습니다.",
"Stockpiles can be placed using the stockpile menu at the bottom of the screen.","저장 구역은 화면 하단의 저장 구역 메뉴를 사용하여 지정할 수 있습니다.",
"You do not have any workshops.","작업장이 없습니다.",
"Workshops are placed using the building menu at the bottom of the screen.","작업장은 화면 하단의 건설 메뉴를 사용하여 배치할 수 있습니다.",
"You do not have any farm plots.","농경지가 없습니다.",
"Farm plots are placed using the building menu at the bottom of the screen.","농경지는 화면 하단의 건설 메뉴를 사용하여 배치할 수 있습니다.",
"You do not have any siege engines.","공성 병기가 없습니다.",
"Siege engines are placed using the building menu at the bottom of the screen.","공성 병기는 화면 하단의 건설 메뉴를 사용하여 배치할 수 있습니다.",
"There aren't any crafted artifacts here.","이곳에는 제작된 아티팩트가 없습니다.",
"Your workers will rarely make them on their own.","노동자들이 스스로 만드는 경우는 드뭅니다.",
"You may also send a squad to obtain one.","분대를 보내 아티팩트를 획득할 수도 있습니다.",
"You haven't named any position symbols yet.","아직 직위 상징을 지정하지 않았습니다.",
"You can do this from the Nobles and Administrators menu.","귀족 및 관리자 메뉴에서 지정할 수 있습니다.",
"There are no named objects here.","이곳에는 이름이 붙은 물건이 없습니다.",
"Citizens, especially soldiers, will rarely name items.","시민들, 특히 군인들이 아이템에 이름을 붙이는 경우는 드뭅니다.",
"There is no written content here.","이곳에는 작성된 서적이 없습니다.",
"Prepare writing material and assign scholars to a library.","필기구 재료를 준비하고 도서관에 학자를 배정하십시오.",
"Writing materials include paper and parchment sheets.","필기구 재료에는 종이와 양피지가 포함됩니다.",
"Use these to make scrolls and quires.","이것들을 사용하여 두루마리와 책을 만듭니다.",
"Libraries are a location that can be created at a zone.","도서관은 구역에서 생성할 수 있는 장소입니다.",

"Members of the nobility have required rooms and can make demands. They cannot be reassigned.","귀족들은 필요한 방이 있고 요구 사항을 제시할 수 있습니다.  이들은 재할당할 수 없습니다.",
"Administrators handle various aspects of your fortress and can be reassigned. Many administrators also require rooms.","관리자들은 요새의 다양한 측면을 담당하며 재할당할 수 있습니다.  많은 관리자들 또한 방을 필요로 합니다.",
"The manager handles work orders. Once your fortress reaches a certain population, the manager must work in an office to validate work orders.","관리자는 작업 명령을 담당합니다.  요새가 일정 인구에 도달하면, 관리자는 작업 명령를 승인하기 위해 사무실에서 근무해야 합니다.",
"The chief medical dwarf allows you to see the overall health of dwarves in your fortress.","수석 의료 드워프는 요새 내 드워프들의 전반적인 건강 상태를 확인할 수 있게 해줍니다.",
"The broker uses their appraisal skill to allow you to see the value of items in the fortress. They are also the default negotiator with ","중개인은 감정 기술을 사용하여 요새 내 아이템의 가치를 확인할 수 있게 해줍니다.  ",
"visiting merchants.","또한 방문하는 상인들과의 기본 협상가 역할을 합니다.",
"The bookkeeper keeps an accurate count of items in the fortress. They work in their office to improve the precision of the count.","기록관은 요새 내 아이템의 수량을 정확하게 유지합니다.  이들은 수량의 정밀도를 높이기 위해 사무실에서 근무합니다.",
