text,translation,tags
"Click to configure","시민 알림 설정을",[ALIGNMENT:CENTER]
"  civilian alert  ","하려면 클릭하세요",[ALIGNMENT:CENTER]
"Choose the burrow(s) where you want your","위험 발생 시 시민들이 숨을",
"civilians to hide during danger.","대피 구역을 선택하십시오.",
"Sound alarm! Citizens run to safety!","경보 발령! 시민들이 안전한 곳으로 대피합니다!",
"All clear! Citizens return to normal","경보 해제! 시민들이 일상으로 돌아갑니다",
"No burrows defined. Please define one to use for the","지정된 대피 구역이 없습니다. 시민 경보에",
"civalert.","사용할 구역을 지정하십시오.",

"분대 사이드바를 열면 나오는 메뉴들","-------------------------------------------------------------------------",
"Open the squad sidebar.","분대 사이드바를 엽니다.",
"You must appoint a","분대를 창설하려면 ",
"militia commander","민병대 사령관을",
"to create a squad.","임명해야 합니다.",
"Create new squad","새 분대 생성",
"Select a squad or squad","분대 또는 분대원을 선택하여",
"member to give orders,","명령을 내리거나, ",
"change equipment, and","장비를 변경하고 ",
"assign schedules.","일정을 할당합니다.",
"Choose a uniform for the","사용할 제복을 선택합니다",
"militia captain's","민병대 대장의 ",
"squad.","분대가",
"selected squads.","선택한 분대가",
"No squad assigned","배정된 분대 없음",

"Create which squad?","어떤 분대를 생성하시겠습니까?",
"New militia captain's squad","새로운 민병대 대장의 분대 ",
"appointed by militia commander","민병대 사령관에 의해 임명됨",
"Militia captain's squad","민병대 대장의 분대 ",
"Vacant position","공석",
"View the leader's sheet.","대장의 정보창을 보기.",
"Customize the squad's ","변경합니다 분대의",
"View the positions in ","이 분대의 직책을 ",
"this squad.","봅니다",
"Change the squad's ","분대의 상징을 ",
"symbol.","변경합니다.",
"Assign a kill order.  ","살해 명령을 하달합니다. ",
"The soldiers will ","병사들이 지정된 대상을 ",
"attempt to kill a ","살해하기 위해 ",
"targeted creature.","시도할 것입니다.",
"Assign a station order. ","주둔 명령을 하달합니다. ",
"The soldiers will stand ","병사들이 선택된 지점 ",
"near the point selected ","근처에 대기하며 ",
"and engage any hostile ","근처로 오는 모든 ",
"creatures that come ","적대적 생명체와 ",
"near.","교전할 것입니다.",
"Assign a patrol order.  ","순찰 명령을 하달합니다. ",
"The soldiers will walk ","병사들이 지정된 경로를 ",
"a specified route ","반복해서 ",
"repeatedly.","걸을 것입니다.",
"Assign a burrow defense ","보루 방어 명령을 ",
"order.  The soldiers ","하달합니다. 병사들이 ",
"will patrol the burrow ","보루를 순찰하며 ",
"and attack any hostile ","적대적 대상을 공격할 것입니다.",
"Assign a training ","훈련 명령을 하달합니다. ",
"order.  The squad must ","분대는 반드시 ",
"be assigned to a ","훈련 옵션이 설정된 ",
"barracks zone with the ","병영 구역에 ",
"training option set.","배정되어야 합니다.",
"Cancel an order.  Does ","명령을 취소합니다. ",
"not affect scheduled ","예약된 일정에는 ",
"orders.","영향을 주지 않습니다.",

"Disband the squad.","분대를 해산합니다.",
"Equip","장비",
"Schedule","일정",
"Are you sure you want to disband this squad?","정말로 이 분대를 해산하시겠습니까?",
"Back to squads","분대 목록으로 돌아가기",
"Choose a symbol for the squad.","분대의 상징을 선택하세요.",
"Name the squad","분대 이름 짓기",
"Clear","초기화",
"Assign uniform","제복 지정",
"Add uniform","제복 추가",
"Update equipment","장비 갱신",
"Details","세부 사항",
"Detect conflicts","충돌 감지",
"Add/edit routines (columns)","루틴 추가/편집 (열)",
"The Merchants","상인들",
"View monthly schedule","월간 일정 보기",
"Off duty","비번",
"Staggered training","교대 훈련",
"Constant training","상시 훈련",
"Ready","준비됨",
"No orders","명령 없음",
"Monthly orders","월간 명령",
"No special orders","특별 명령 없음",

"Done editing","편집 완료",
"Equip/orders only","장비/명령시 착용",
"Equip/always","장비/상시 착용",
"Sleep/room at will","수면/자유롭게 방에서",
"Sleep/barracks at will","수면/자유롭게 병영에서",
"Sleep/barracks at need","수면/필요시 병영에서",
"Minimum number of","새로운 명령을 따를 ",
"soldiers to follow","최소 병사 수",
"new order","",
"Editing routine Staggered training","교대 훈련 루틴 편집 중",
"Adding uniform","제복 추가 중",
"Confirm and save uniform","제복 확인 및 저장",
"Assign uniform","제복 지정",
"Add uniform","제복 추가",
"Update equipment","장비 갱신",
"Details","세부 사항",
"Uniform worn over clothing","의복 위에 제복 착용",
"Partial matches okay","일부 일치 허용",
"Train","훈련",
"Edit","편집",
"Uniform replaces clothing","제복이 의복을 대체함",
"Exact matches only","정확한 일치만 허용",
"Select or create a route.","경로를 선택하거나 생성하세요.",
"Crossbow Station","석궁 초소",
"Create new route","새 경로 생성",
"Inspect the route.","경로 확인.",
"Select which burrows to defend.","방어할 보루를 선택하세요.",
"Equip/orders only","명령 시에만 장비 착용",
"Equip/always","항상 장비 착용",
"Sleep/room at will","개인실에서 자유롭게 수면",
"Sleep/barracks at will","내무반에서 자유롭게 수면",
"Sleep/barracks at need","필요 시 내무반에서 수면",
"Supplies","보급품",
"Editing routine","루틴 편집 중",
"Supplies carried by each squad member","각 분대원이 휴대하는 보급품",
"No water","물 없음",
"Add ammunition","탄약 추가",
"Military routines","군사 루틴",
"Add new routine","새 루틴 추가",
"Really delete this routine?","정말로 이 루틴을 삭제하시겠습니까?",
"Are you sure you want to discard changes to","정말로 이 제복의 변경 사항을 ",
"this uniform?","폐기하시겠습니까?",

"세계 지도를 열면 나오는 메뉴들","-------------------------------------------------------------------------",
"Center on fort","요새 중심으로 이동",[ALIGNMENT:CENTER]
"Missions","임무",[ALIGNMENT:CENTER]
"News and rumors","뉴스 및 소문",[ALIGNMENT:CENTER]
"Civilizations","문명",[ALIGNMENT:CENTER]
"Missing citizens","실종된 시민",[ALIGNMENT:CENTER]
"Artifacts","유물",[ALIGNMENT:CENTER]
"Reports","보고서",[ALIGNMENT:CENTER]

"Remove","제거",
"Raid (squads will try to avoid detection)","습격(분대는 탐지를 피하려고 합니다)",
"Pillage (openly attack)","약탈(공개적으로 공격)",
"Raze (openly attack and destroy site)","파괴(부지를 공개적으로 공격하고 파괴)",
"Demand one-time tribute","일회성 공물 요구",
"Demand ongoing tribute","지속적인 공물 요구",
"Conquer and occupy","정복과 점령",
"Demand surrender and occupy","항복 요구 및 점령",
"Free captives belonging to your civilization","문명에 속한 무료 포로",
"Release other prisoners","다른 수감자 석방",
"Take important treasures","중요한 보물을 가져가라",
"Loot other items","다른 아이템을 약탈하세요",
"Steal livestock","가축을 훔침",
"WARNING:  If successful, your soldiers will join the","경고: 성공하면 병사들이",
"occupation and not return.  Your new holdings will","점령하고 돌아오지 않습니다. ",
"be manageable from this screen.","이 화면에서 관리할 수 있습니다.",

"Peace","평화",
"No civilized population","문명화된 인구 없음",
"No specific orders","특정 명령 없음",

"Squad Order","분대 명령",
" (opens menu)"," (메뉴 열기)",
"A short trip","짧은 여행 거리",
"A half day's travel","반나절의 여행 거리",
"Nearly a day's travel","거의 하루의 여행 거리",
"A day's travel","하루의 여행 거리",
"More than a day's travel","하루 이상의 여행 거리",
"Two days' travel","2일의 여행 거리",
"Three days' travel","3일의 여행 거리",
"Four days' travel","4일의 여행 거리",
"Five days' travel","5일의 여행 거리",
"Six days' travel","6일의 여행 거리",
"Seven days' travel","7일의 여행 거리",
"Eight days' travel","8일의 여행 거리",
"Nine days' travel","9일의 여행 거리",
"Ten days' travel","10일의 여행 거리",
"Eleven days' travel","11일의 여행 거리",
"Twelve days' travel","12일의 여행 거리",
"Thirteen days' travel","13일의 여행 거리",
"Fourteen days' travel","14일의 여행 거리",
"Fifteen days' travel","15일의 여행 거리",
"Sixteen days' travel","16일의 여행 거리",
"Seventeen days' travel","17일의 여행 거리",
"Eighteen days' travel","18일의 여행 거리",
"Nineteen days' travel","19일의 여행 거리",
"Twenty days' travel","20일의 여행 거리",
"Inaccessible from your location","현재 위치에서 접근할 수 없음",
"Your location","당신의 위치",
"Population: >10000","인구: >10000",
"Population: ~10000","인구: ~10000",
"Population: ~7500","인구: ~7500",
"Population: ~6000","인구: ~6000",
"Population: ~5000","인구: ~5000",
"Population: ~4000","인구: ~4000",
"Population: ~3000","인구: ~3000",
"Population: ~2000","인구: ~2000",
"Population: ~1000","인구: ~1000",
"Population: ~750","인구: ~750",
