text,translation,tags
"[C:7:0:1]Received ","[C:7:0:1]처치됨 ",
"[C:7:0:1:]Received ","[C:7:0:1:]처치됨 ",
" cast"," 깁스",
"[C:6:0:1]Received ","[C:6:0:1]처치됨 ",
" splint on "," 부목 대기 ",
" dressing on "," 붕대 감음 ",
"[C:4:0:1]Received ","[C:4:0:1]처치됨 ",
" sutures on "," 봉합 ",
" amputated"," 절단됨",
"Rotten tissue excised from ","썩은 조직 절제 ",
"[C:4:0:1]Compound fracture of ","[C:4:0:1]복합골절 ",
" repaired"," 수리됨",
"[C:4:0:1]Bleeding stopped","[C:4:0:1]출혈 멈춤",
"[C:6:0:1]Had ","[C:6:0:1]처리됨? ",
" set"," 뼈 고정",
"[C:6:0:1]Placed in traction","[C:6:0:1]견인됨",
"[C:7:0:1]Evaluated","[C:7:0:1]평가됨",
"[C:7:0:1]Brought to rest","[C:7:0:1]휴식중",
"[C:3:0:1]Cleaned","[C:3:0:1]깔끔함",
"[C:7:0:0:]Diagnosed with ","[C:7:0:0:]진단 ",
"[C:7:0:0]No medical history","[C:7:0:0]의료기록 없음",
"[C:7:0:1]Diagnosis required","[C:7:0:1]진단이 필요함",
"[C:7:0:1]Crutch required","[C:7:0:1]목발 필요",
".[C:5:0:1]Rotten -- inoperable",".[C:5:0:1]썩음 -- 치료 불가",
".[C:3:0:1]Needs cleaning",".[C:3:0:1]씻을 필요가 있음",
".[C:4:0:1]Needs surgery",".[C:4:0:1]수술 필요",
".[C:2:0:1]Needs sutures",".[C:2:0:1]봉합 필요",
".[C:6:0:1]Needs setting",".[C:6:0:1]고정setting 필요 - 수정 예정",
".[C:7:0:0]Needs dressing",".[C:7:0:0]붕대 필요",
".[C:6:0:1]Needs traction",".[C:6:0:1]견인 필요",
".[C:6:0:1]Needs immobilization",".[C:6:0:1]고정immobilization 필요 - 수정 예정",
"[C:7:0:0]No treatment scheduled","[C:7:0:0]치료 예정 없음",
"[C:5:0:1].Gelded","[C:5:0:1].거세됨",
"[C:2:0:1].Spilled","[C:2:0:1].내장이 쏟아짐",
"[C:5:0:1].Butchered","[C:5:0:1].도축됨",
"[C:4:0:1].Major artery torn","[C:4:0:1].대동맥 파열",
"[C:4:0:1].Artery torn","[C:4:0:1].동맥 파열",
"[C:4:0:1].Heavy bleeding","[C:4:0:1].심각한 출혈",
"[C:4:0:1].Bleeding","[C:4:0:1].출혈",
"[C:7:0:1].Motor nerve severed","[C:7:0:1].운동 신경 절단됨",
"[C:7:0:1].Sensory nerve severed","[C:7:0:1].감각 신경 절단됨",
"[C:6:0:1].Torn tendon","[C:6:0:1].힘줄 파열",
"[C:6:0:1].Strained tendon","[C:6:0:1].힘줄 좌상(strained)",
"[C:6:0:1].Bruised tendon","[C:6:0:1].힘줄 손상",
"[C:6:0:1].Torn ligament","[C:6:0:1].인대 파열",
"[C:6:0:1].Sprained ligament","[C:6:0:1].인대 접질림",
"[C:6:0:1].Bruised ligament","[C:6:0:1].인대 손상",
"[C:6:0:0].Overlapping fracture (in traction)","[C:6:0:0].사지 골절(견인됨)",
"[C:4:0:1].Overlapping fracture","[C:4:0:1].사지 골절",
"[C:6:0:1].Needs setting","[C:6:0:1].부목 필요",
"[C:4:0:1].Compound fracture","[C:4:0:1].복합 골절",
"[C:4:0:1].Cut apart","[C:4:0:1].절단",
"[C:4:0:1].Smashed apart","[C:4:0:1].산산조각남",
"[C:4:0:1].Broken apart","[C:4:0:1].부서짐",
"[C:4:0:1].Torn apart","[C:4:0:1].찢어짐",
"[C:4:0:1].Cut open","[C:4:0:1].잘려서 열림",
"[C:4:0:1].Smashed open","[C:4:0:1].뭉개져서 열림",
"[C:4:0:1].Broken open","[C:4:0:1].부서져서 열림",
"[C:4:0:1].Torn open","[C:4:0:1].찢어져 열림",
"[C:6:0:0].Dented","[C:6:0:0].찌그러짐",
"[C:6:0:0].Heavy bruising","[C:6:0:0].심한 타박상",
"[C:6:0:0].Moderate bruising","[C:6:0:0].보통의 타박상",
"[C:6:0:0].Light bruising","[C:6:0:0].가벼운 타박상",
"[C:6:0:0].Serious burn","[C:6:0:0].심각한 화상",
"[C:6:0:0].Moderate burn","[C:6:0:0].보통의 화상",
"[C:6:0:0].Minor burn","[C:6:0:0].약한 화상",
"[C:6:0:0].Serious frost-bite","[C:6:0:0].심각한 동상",
"[C:6:0:0].Moderate frost-bite","[C:6:0:0].보통의 동상",
"[C:6:0:0].Minor frost-bite","[C:6:0:0].약한 동상",
"[C:6:0:0].Serious melting","[C:6:0:0].심하게 녹음",
"[C:6:0:0].Moderate melting","[C:6:0:0].중간 정도 녹음",
"[C:6:0:0].Minor melting","[C:6:0:0].조금 녹음",
"[C:6:0:0].Serious boiling","[C:6:0:0].심각하게 끓어오름",
"[C:6:0:0].Moderate boiling","[C:6:0:0].보통 끓음",
"[C:6:0:0].Minor boiling","[C:6:0:0].약하게 끓음",
"[C:6:0:0].Serious freezing","[C:6:0:0].심각한 동결",
"[C:6:0:0].Moderate freezing","[C:6:0:0].보통의 동결",
"[C:6:0:0].Minor freezing","[C:6:0:0].약한 동결",
"[C:6:0:0].Serious condensation","[C:6:0:0].심각한 응결",
"[C:6:0:0].Moderate condensation","[C:6:0:0].보통 응결",
"[C:6:0:0].Minor condensation","[C:6:0:0].미미한 응결",
"[C:5:0:1].Advanced rot","[C:5:0:1].부패 진행됨",
"[C:5:0:1].Moderate rot","[C:5:0:1].중간의 부패",
"[C:5:0:1].Minor rot","[C:5:0:1].약간의 부패",
"[C:6:0:0].Serious blistering","[C:6:0:0].심각한 물집",
"[C:6:0:0].Moderate blistering","[C:6:0:0].중간의 물집",
"[C:6:0:0].Minor blistering","[C:6:0:0].경미한 물집",
"[C:7:0:1].Extreme pain","[C:7:0:1].극심한 고통",
"[C:2:0:1].Nausea","[C:2:0:1].메스꺼움",
"[C:3:0:1].Dizziness","[C:3:0:1].현기증",
"[C:3:0:1].Paralysis","[C:3:0:1].마비",
"[C:7:0:1].Moderate pain","[C:7:0:1].중간 정도의 고통",
"[C:7:0:1].Minor pain","[C:7:0:1].약한 고통",
"[C:3:0:1].Partial paralysis","[C:3:0:1].부분적으로 마비됨",
"[C:3:0:1].Some sluggishness","[C:3:0:1].약간 느릿해짐",
"[C:3:0:1].Complete numbness","[C:3:0:1].완전한 무감각",
"[C:3:0:1].Partial numbness","[C:3:0:1].부분 마비",
"[C:3:0:1].Slight numbness","[C:3:0:1].약간의 무감각",
"[C:6:0:1].Extreme swelling","[C:6:0:1].극도의 붓기",
"[C:6:0:1].Minor swelling","[C:6:0:1].경미한 붓기",
"[C:7:0:1].Function totally impaired","[C:7:0:1].완전한 기능 손상",
"[C:7:0:1].Partially impaired function","[C:7:0:1].부분적 기능 손상",
"[C:7:0:1].Slightly impaired function","[C:7:0:1].약간의 기능 장애",
"[C:7:0:1]Has been sutured","[C:7:0:1]봉합 완료",
"[C:5:0:1]Infection","[C:5:0:1]감염됨",
"[C:7:0:0]No evaluated wounds","[C:7:0:0]진단된 상처 없음",
"[C:6:0:0]In traction","[C:6:0:0]부목 고정됨",
"[C:4:0:1]Heavy bleeding","[C:4:0:1]심각한 출혈",
"[C:4:0:1]Bleeding","[C:4:0:1]출혈 중",
"[C:5:0:1]Severe blood loss","[C:5:0:1]극심한 혈액 손실",
"[C:5:0:1]Pale","[C:5:0:1]핼쑥함",
"[C:5:0:1]Moderate blood loss","[C:5:0:1]보통의 출혈",
"[C:5:0:1]Faint","[C:5:0:1]기절",
"[C:3:0:1]Paralyzed","[C:3:0:1]마비됨",
"[C:3:0:1]Partially paralyzed","[C:3:0:1]부분적 마비",
"[C:3:0:1]Sluggish","[C:3:0:1]느릿해짐",
"[C:3:0:1]Completely numb","[C:3:0:1]완전한 무감각",
"[C:3:0:1]Partially numb","[C:3:0:1]부분적 무감각",
"[C:3:0:1]Slightly numb","[C:3:0:1]약간의 무감각",
"[C:4:0:1]Serious fever","[C:4:0:1]심각한 발열",
"[C:4:0:1]Moderate fever","[C:4:0:1]보통의 발열",
"[C:4:0:1]Slight fever","[C:4:0:1]약간의 발열",
"[C:6:0:1]Extreme pain","[C:6:0:1]극심한 고통",
"[C:6:0:1]Moderate pain","[C:6:0:1]중간의 고통",
"[C:6:0:1]Slight pain","[C:6:0:1]약간의 고통",
"[C:6:0:1]Exhausted","[C:6:0:1]탈진",
"[C:6:0:1]Over-exerted","[C:6:0:1]기진맥진",
"[C:6:0:1]Tired","[C:6:0:1]피로함",
"[C:3:0:1]Stunned","[C:3:0:1]기절함",
"[C:3:0:1]Dizzy","[C:3:0:1]어지러움",
"[C:1:0:1]Drowning","[C:1:0:1]꼬로록",
"[C:7:0:0]Winded","[C:7:0:0]호흡곤란",
"[C:2:0:1]Nauseous","[C:2:0:1]메스꺼움",
"[C:4:0:1]Very drowsy","[C:4:0:1]심하게 졸림",
"[C:1:0:1]Drowsy","[C:1:0:1]졸림",
"[C:5:0:1]Dehydrated","[C:5:0:1]탈수증",
"[C:1:0:1]Thirsty","[C:1:0:1]목마름",
"[C:4:0:1]Starving","[C:4:0:1]굶주림",
"[C:6:0:0]Hungry","[C:6:0:0]배고픔",
"[C:4:0:1]Slumberous","[C:4:0:1]무기력함",
"[C:6:0:1]Drowsy","[C:6:0:1]졸림",
"[C:1:0:0]Drowsy","[C:1:0:0]졸림",
"[C:4:0:1]Thirsty!","[C:4:0:1]목마름!",
"[C:4:0:0]Thirsty","[C:4:0:0]목마름",
"[C:5:0:1]Thirsty","[C:5:0:1]목마름",
"[C:6:0:1]Thirsty","[C:6:0:1]목마름",
"[C:4:0:1]Very hungry","[C:4:0:1]아주 배고픔",
"[C:6:0:1]Hungry","[C:6:0:1]배고픔",
"[C:4:0:1]Cannot breathe","[C:4:0:1]숨을 쉴 수 없음",
"[C:7:0:0]Trouble breathing","[C:7:0:0]호흡곤란",
"[C:4:0:1]Vision lost","[C:4:0:1]시력 상실",
"[C:6:0:1]Vision impaired","[C:6:0:1]시각 장애",
"[C:7:0:0]Vision somewhat impaired","[C:7:0:0]시력 저하",
"[C:6:0:1]Ability to stand lost","[C:6:0:1]설 수 없음",
"[C:6:0:1]Ability to stand somewhat impaired","[C:6:0:1]서 있기 어려움",
"[C:6:0:1]Ability to grasp lost","[C:6:0:1]잡는 능력 상실",
"[C:6:0:1]Ability to grasp somewhat impaired","[C:6:0:1]잡는 능력이 떨어짐",
