text,translation,tags
"Stonecrafting","석공예",
"Woodcrafting","목공예",
"Bone Carving","뼈 세공",
"Wax Working","밀랍 세공",
"Bookbinding","제본",
"Strand Extraction","가닥 추출",
"Leatherworking","가죽 공예",
"Clothesmaking","의류 제작",
"Metalcrafting","금속 공예",
"Glassmaking","유리 공예",
"Stone Cutting","석재 절단",
"Stone Carving","석재 조각",
"Weaponsmithing","무기 제작",
"Armoring","방어구 제작",
"Blacksmithing","금속 제련",
"Trapping","함정 설치",
"Furnace Operating","용광로 가동",
"Pottery","도자기 제조",
"Glazing","유약 칠하기",
"Brewing","양조",
"Plant Gathering","식물 채집",
"Fish Cleaning","생선 손질",
"Fish Dissection","생선 해부",
"Plant Processing","식물 가공",
"Cheese Making","치즈 제조",
"Shearing","털 깎기",
"Spinning","실 뽑기",
"Papermaking","종이 제작",
"Butchery","도축",
"Small Animal Dissection","소동물 해부",
"Potash Making","칼륨 제조",
"Lye Making","잿물 제조",
"Gem Cutting","보석 연마",
"Gem Setting","보석 장식",
"Carpentry","목공",

"Show linked buildings","연결된 건물 보기",
"Show items","아이템 보기",
"Progress Bar:","진행 표시줄:",
"Experience:","경험치:",
"Min skill:","최소 기술:",
"Max skill:","최대 기술:",
"Dabbling","초보 ",
"Legendary","전설적 ",
"Toggle all","모두 토글",
"Toggle selected","선택 항목 토글",
"(or double click)","(또는 더블 클릭)",

"*** Forbidden ***","*** 금지됨 ***",
"Leave fallow","경작지 쉬기",
"Boulders","돌덩이",
"Fertile","유정",
"(now)","(지금)",
"Winter","겨울",
"Autumn","가을",
"Summer","여름",
"Spring","봄",
"Sort units by name.","유닛을 이름순으로 정렬합니다.",
"Sort units by profession ","유닛을 정렬합니다 >직업 ",
"category.","종류",
"name.","이름",
"Passable","통행 가능",
"Forbidden","금지됨",
"View stockpile","저장구역 보기",

"Not set to fertilize","비료를 주지 않도록 설정됨",
"Current amount: ","현재 수량: ",
"Fertilize","매 계절마다 ",
"every season","비료를 줍니다.",

"Zones","구역",
"Burrows","활동 구역",
"Minecart routes","광산 수레 경로",
"Place track vehicle","트랙 탈것 배치",
"Stocks","재고",[ALIGNMENT:CENTER]
"Work details","작업 세부 사항",
"Nobles and administrators","귀족 및 관리자",
"Justice","사법",
"Squads","분대",
"Food","식량",
"Meat","고기",
"Plant","식물",
"Drink","음료",
"Other","기타",
"Seeds","씨앗",
"Fish","생선",
"Pop","인구",


"Tasks","작업",
"Workers","노동자",
"Work orders","작업 명령",
"Creatures","생명체",
"Citizens","시민",
"Pets/Livestock","애완동물/가축",
"Dead/Missing","사망/실종",
"Places","장소",
"Labor","노동",
"Locations","위치",
"Farm plots","농작지",
"Siege engines","공성 병기",
"Work Details","작업 세부 사항",
"Standing orders","상시 명령",
"Stone use","석재 사용",
"Objects","물품",
"Symbols","상징",
"Written content","서면 기록",
"Named objects","이름 붙은 물건",
"Add new task","새 작업 추가",
"Outpost","전초기지",
"Hamlet","촌락",
"Village","마을",
"Town","읍",
"City","도시",
"Metropolis","대도시",
"Capital","수도",
"Mountainhome","마운틴홈",
"Created Wealth:","생성된 부:",
"Weapons:","무기:",
"Furniture:","가구:",
"Other Objects:","기타 물품:",
"Held/Worn:","착용/소지:",
"Displayed:","전시됨:",
"Armor and Garb:","갑옷 및 의복:",
"Exported Wealth:","수출된 부:",
"Imported Wealth:","수입된 부:",
"Architecture:","건축:",
"Not yet assigned","아직 배정되지 않음",
"Nobody assigned","할당된 사람 없음",
"Add new burrow","새 활동 구역 추가",
"Add new route","새 경로 추가",
"Install colony when ready","준비가되면 군체를 설치",
"Do not install colony","콜로니를 설치하지 않음",
"   * Requires wild colony or","   * 야생 군체 필요 또는",
"   * Existing hive","   * 기존 벌통",
"Gather any products","모든 생산물을 수집",
"Do not gather products","생산물을 모으지 않음",
"   * Destroys colony","   * 군체 파괴됨",
"   * Requires a jug","   * 주전자 필요",
"   * Saves colony for split","   * 분봉을 위해 군체 보존",
"No outdoor access","야외 접근 불가",
"Outdoor access","야외 접근 가능",
"Not ready to be split","분봉 준비 안 됨",
"No available colony","사용 가능한 군체 없음",
"Colony to Install","설치할 군체",
"Return Colony To Install","설치할 군체 반환",
"New handwear","새 장갑",
"New footwear","새 신발",
"New headwear","새 모자",
"New legwear","새 바지",
"New bodywear","새 상의",
"New shield","새 방패",
"New weapon","새 무기",
"Mat","재질",
" (Rusty)"," (녹슨)",
" (V Rusty)"," (매우 녹슨)",
"Dump","비우기", 
"Friction","마찰력",
"Move goods to/from depot","교역소로 물품 이동/반출",
"Broker requested at depot","교역소에 중개인 호출됨",
"Anyone requested at depot","교역소에 아무나 호출됨",
"No trader needed at depot","교역소에 상인 필요 없음",

"Slated for removal","철거 예정",
"Removal inactive.","철거 상태 아님.",
"Cancel removal","철거 취소",
"Trap Occupied:","함정 점령:",
"Waiting for construction...","건축 대기 중...",
"Construction initiated.","건설 시작됨.",
"Partially constructed.","부분적으로 건설됨.",
"Construction nearly done.","건설이 거의 끝나감.",
"Construction suspended.","건설 중단됨.",
"Construction inactive.","건설 비활성.",
"Resume construction","건설 재개",
"Suspend construction","건설 중단",
"Cancel construction","건설 취소",
"Remove building","건물 제거",
"This building has","이 건물은",
"been claimed by","점거되었다",
"works furiously!","미친듯이 일한다!",
"keeps muttering","계속 투덜거린다",
"works secretly...","비밀스럽게 일한다...",
"works, darkly brooding...","일한다, 어둡게 생각하며...",
"works with menacing fury!","위협적으로 격분한 채 일한다!",

"Set conditions for Loading.","적재 조건을 설정합니다.",
"Set conditions for Unloading.","하역 조건을 설정합니다.",
"Are you sure you want to remove this","정말로 이 저장구역을 ",
"stockpile?","제거하시겠습니까?",
"Pull the lever","레버 조작",
"Link lever","레버 연결",
"Pull lever","레버 당기기",
"Unlink mode","연결 해제 모드",
"Unlink all","모두 연결 해제",
"Link plate","압력판 연결",
"Add new task","새 작업 추가",

"Job taken by:","작업 담당자:",
"Make top priority:","최우선 순위로 설정:",
"Don't auto free","자동 해제 안 함",
"Free local mechanism","이곳의 기계 장치 해제",
"Free target mechanism","대상의 기계 장치 해제",
"Free local and target","이곳 및 대상 기계 장치 해제",
"Unlink all mechanisms?","모든 기계 장치 연결을 해제하시겠습니까?",
"These mechanisms will be kept in the building. You can free them later.","이 기계 장치들은 건물에 남습니다. 나중에 해제할 수 있습니다.",
"Mechanisms in linked buildings will be kept in the buildings. You can free them later.","연결된 건물의 기계 장치들은 그 건물에 남습니다. 나중에 해제할 수 있습니다.",

"There are no merchants trading right now.","지금은 거래 중인 상인이 없습니다.",
"Work orders can be added specifically for this shop.","이 작업장 전용 작업 명령을 추가할 수 있습니다.",
"This workshop is free for anybody to use.","이 작업장은 누구나 자유롭게 이용할 수 있습니다.",
"General work orders allowed: ","허용된 일반 작업 명령:",
"Left click for recenter and expand options.  Right click to dismiss.","왼쪽 클릭으로 화면 중앙 이동 및 옵션 확장. 오른쪽 클릭으로 닫기.",
"Permitted General Work Order Labors","허용된 일반 작업 명령 노동",
"Allow idle dwarves to satisfy crafting needs:","휴식 중인 드워프의 제작 욕구 해소 허용:",
"Workers cannot be assigned to this building.","노동자를 이 건물에 할당할 수 없습니다.",
"Only one master may be assigned to each workshop.","각 작업장에는 한 명의 장인만 배정될 수 있습니다.",
"Work orders cannot be assigned to this building.","이 건물에는 작업 명령을 할당할 수 없습니다.",
"A manager is required to add work orders to the shop.","상점에 작업 명령을 추가하려면 관리자가 필요합니다.",


"There is no bucket.","양동이가 없습니다.",
"The bucket is full.","양동이가 가득 찼습니다.",
"The well is operational.","우물이 가동 중입니다.",
"The well is dry.","이 우물은 말랐습니다.",
"Frozen Here","여기가 얼어붙음",
"Frozen Elsewhere","다른 곳이 얼어붙음",
"Active","활성화",
"Inactive","비활성화",
"Total Power: ","총 동력: ",
"Total Power Needed: ","필요한 총 동력: ",
"Stable Foundation","안정적인 토대",
"Hanging","매달려 있음",
"Stop Pumping Manually","수동으로 펌프질 중단",
"Start Pump Manually","수동으로 펌프질 시작",
