text,translation,tags
Video,비디오,
Audio,오디오,
Game,게임,
Keybindings,키 설정,
Announcements,알림,
Difficulty,난이도,
Windowed,창 모드,
Fullscreen,전체 화면,
Resolution:,해상도:,
Detect,감지,
Scale interface to fit grid height/width,그리드 높이/너비에 맞게 인터페이스 크기 조정,
 Desired grid height for scaling (default = 64), 크기 조정을 위한 희망 그리드 높이 (기본값 = 64),
 Desired grid width for scaling (default = 170), 크기 조정을 위한 희망 그리드 너비 (기본값 = 170),
Scaling mode,크기 조정 모드,
Done,완료,
Automatic,자동,
Range: ,범위: ,
No,아니요,
Yes,예,
Use Classic ASCII glyphs,클래식 ASCII 글리프 사용,
Graphical FPS cap (default 50),그래픽 FPS 상한 (기본값 50),
Maximum interface percentage (not counting minimap/elevation),최대 인터페이스 비율 (미니맵/고도 제외),
Window is resizable (takes effect on restart),창 크기 조절 가능 (재시작 시 적용),
Initial window height (if windowed),초기 창 높이 (창 모드인 경우),
 Interface scaling percentage if not fitting width, 너비가 맞지 않을 경우 인터페이스 크기 조정 비율,
Initial window width (if windowed),초기 창 너비 (창 모드인 경우),
Nearest-neighbor,최근접 이웃,
Lanczos,Lanczos,
