text,translation,tags
"저장구역 UI조금과 버튼 툴팁들","-----------------------------------------------------------------------------------------",
"Ammo","탄약",
"Animals","동물",
"Bars and","주괴 및",
"Bars/blocks","주괴/블록",
"Finished goods","완성품",
"Finished","완료된",
"Goods","상품",
"Refuse","폐기물",
"Sheets","종이",
"Stone","석재",
"Weapons/trap comps","무기/함정 부품",
"Furniture/siege ammo","가구/공성 탄약",
"Primeval stone","원시 암석",
"Custom","커스텀",
"Type","유형",
"Other materials","기타 재료",
"Core quality","핵심 품질",
"Total quality","전체 품질",
"Empty cages","빈 우리",
"Empty animal traps","빈 동물 덫",
"Body","몸통",
"Feet","발",
"Hands","손",
"Legs","다리",
"Color","색상",
"Usable armor","사용 가능한 방어구",
"Unusable armor","사용 불가능한 방어구",
"Undyed","염색되지 않음",
"Dyed","염색됨",
"Bars: metal","주괴: 금속",
"Bars: other materials","주괴: 기타 재료",
"Blocks: stone/clay","블록: 석재/점토",
"Blocks: metal","블록: 금속",
"Blocks: other materials","블록: 기타 재료",
"Thread (silk)","실 (비단)",
"Thread (plant)","실 (식물)",
"Thread (yarn)","실 (털실)",
"Thread (metal)","실 (금속)",
"Cloth (silk)","천 (비단)",
"Cloth (plant)","천 (식물)",
"Cloth (yarn)","천 (털실)",
"Cloth (metal)","천 (금속)",
"Stone/clay","암석/점토",
"Unprepared fish","손질되지 않은 물고기",
"Drink (plant)","음료 (식물)",
"Drink (animal)","음료 (동물)",
"Cheese (animal)","치즈 (동물)",
"Fruit/leaves","과일/잎",
"Milled plant","제분된 식물",
"Paste","반죽",
"Pressed material","압착된 재료",
"Extract (plant)","추출물 (식물)",
"Extract (animal)","추출물 (동물)",
"Misc. liquid","기타 액체",
"Rough gem","거친 보석",
"Rough glass","거친 유리",
"Cut gem","세공된 보석",
"Cut glass","세공된 유리",
"Cut stone","세공된 암석",
"Type","유형",
"Color","색상",
"Undyed","염색되지 않음",
"Dyed","염색됨",
"Item types","물품 유형",
"Skulls","해골",
"Horns/hooves","뿔/발굽",
"Hair/wool","털/양털",
"Paper","종이",
"Metal ores","금속 광석",
"Economic","경제 석재",
"Other stone","기타 석재",
"Other materials","기타 재료",
"Core quality","핵심 품질",
"Total quality","전체 품질",
"Usable weapons","사용 가능한 무기",
"Unusable weapons","사용 불가능한 무기",
"Cone-headed arrows","원뿔형 화살",
"Jagged arrows","톱니형 화살",
"Jagged bolts","톱니형 석궁살",
"Long bolts","긴 석궁살",
"Narrow blowdarts","좁은 바람총 화살",
"Short bolts","짧은 석궁살",
"Thick blowdarts","두꺼운 바람총 화살",
"Standard","표준",
"Well-crafted","잘 만듦",
"Finely-crafted","정교하게 만듦",
"Superior quality","우수한 품질",
"Exceptional","뛰어남",
"Masterwork","걸작",
"Artifact","유물",
"Click an icon to set stockpile type.","아이콘을 클릭하여 저장구역 유형을 설정하십시오.",
"Warning: stockpile has no type.","경고: 저장구역에 유형이 지정되지 않았습니다.",
"Storage and tools","저장 및 도구",
"Max barrels","최대 통 개수",
"Max bins","최대 보관함 개수",
"Max wheelbarrows","최대 손수레 개수",


"구역 UI조금과 버튼 툴팁들","--------------------------------------------------------------------------------------",
"Repaint this stockpile.","이 저장구역을 다시 그립니다.",
"Toggle whether the ","저장구역이",
"stockpile can take ","물품을 어디서든 수용할지",
"items from anywhere or ","아니면 특정 작업장과",
"only from specific ","연결된 곳에서만 수용할지를 전환",
"Set how many barrerls, ","이 저장구역이 사용할",
"bins, and wheelbarrows ","통, 보관함, 외바퀴 손수레의",
"this stockpile can use.","개수를 설정합니다.",
"Set from which ","저장구역을 연결",
"workshops and ","합니다.",
"stockpiles this ","어떤 작업장, 혹은 다른 저장구역과",
"stockpile gives and ","물품을 주고받을지",
"takes items.","설정합니다.",
"Remove this stockpile ","이 저장구역을 제거합니다.",
"Click an existing zone to select it.","기존 구역을 클릭하여 선택하십시오.",
"Click an existing stockpile to select it.","기존 저장구역을 클릭하여 선택하십시오.",
"Select a type below to add a zone.","아래에서 유형을 선택하여 구역을 추가합니다.",
"Click an icon to add a new zone.","아이콘을 클릭하여 새 구역을 추가합니다.",
"Meeting Area","만남의 광장",
"Bedroom","침실",
"Dining Hall","식당",
"Pen/Pasture","우리/목초지",
"Pit/Pond","구덩이/연못",
"Water Source","수원",
"Dungeon","감옥",
"Fishing","낚시 구역",
"Office","집무실",
"Dormitory","기숙사",
"Barracks","병영",
"Archery Range","사격장",
"Garbage Dump","쓰레기 투기장",
"Animal Training","동물 훈련장",
"Tomb","무덤",
"Gather Fruit","열매 채집 구역",
"This important zone is ","이 중요한 구역은 시민들이",
"where your citizens ","모여 사교 활동을",
"will gather to ","하는 장소입니다.",
"socialize.  Crucially, ","중요한 점은, 이 만남의",
"the meeting area is ","장소가 바로 주점,",
"where locations such as ","사원, 병원 등과 같은",
"taverns, temples, ","시설들이 설립되는",
"hospitals, and the like ","기반이 된다는",
"are established.","것입니다.",
"An office or study is ","사무실이나 서재는",
"required for certain ","특정 공무를 위해",
"official tasks, such as ","필요합니다. 예를 들어",
"approving work orders ","작업 명령 승인이나",
"and bookkeeping.  A ","장부 정리 등입니다.",
"chair or throne is ","이 기능을 수행하려면",
"required for these ","의자나 왕좌가",
"functions.","있어야 합니다.",
"Your citizens will ","시민들은",
"sleep in bedrooms.  It ","침실에서 잠을 잡니다.",
"should include a bed!  ","침실에는 침대가 있어야 합니다!",
"Try to enclose it with ","가능한 벽이나 문으로",
"walls and/or doors.  Do ","공간을 밀폐하십시오.",
"not overlap with other ","다른 방과 겹치지",
"rooms.","않도록 하십시오.",
"Dormitories should ","기숙사에는 여러 개의",
"include multiple beds ","침대를 두어야 하며,",
"and will not belong to ","특정 시민의 소유가",
"a particular citizen.","되지 않습니다.",
"Your citizens will eat ","시민들은 이 구역에서",
"at this zone.  When not ","식사합니다. 특정 시민에게",
"assigned to a ","할당되지 않았다면,",
"particular citizen, ","개인 식당이 없는",
"citizens without their ","시민들이 이곳을",
"own dining hall will ","이용합니다. 테이블과",
"eat here.  Tables and ","그 옆의 의자가",
"adjacent chairs should ","반드시 포함되어야",
"be included.","합니다.",
"Squads should be ","분대는 병영에",
"assigned to a barracks. ","할당되어야 합니다.",
"The squad can be set to ","분대는 이곳에서 훈련,",
"train, sleep, and store ","수면, 그리고 장비",
"equipment there.","보관을 할 수 있습니다.",
"Certain livestock need ","특정 가축은 풀을",
"to graze on grass.  ","뜯어먹어야 합니다.",
"Assign these animals to ","이 동물들을 방목장에",
"a pasture zone.  No ","배정하십시오. 울타리는",
"fencing is needed.","필요하지 않습니다.",
"Your archers can train ","궁수들은 이 구역에",
"in this zone if there ","궁술 표적이 포함되어",
"is an archery target ","있다면 훈련할 수",
"included.","있습니다.",
"Animals assigned to ","구덩이/연못 구역에",
"pit/pond zones are ","할당된 동물은 안으로",
"dumped in the pit, but ","던져지지만, 가능하다면",
"will leave the zone ","이후에 구역을",
"afterward if possible.  ","떠날 것입니다.",
"If the pit is ","만약 구덩이가",
"designated as a pond, ","연못으로 지정되면,",
"your citizens will ","시민들이 양동이로",
"attempt to fill it with ","물을 채우려고",
"water using buckets.","시도할 것입니다.",
"Items designated for ","폐기 지정된 물품은",
"dumping will be tossed ","이 구역에 포함된",
"into open air spaces ","개방 공간으로",
"included in this zone.  ","투기됩니다.",
"If no open air tiles ","만약 개방된 타일이",
"are included, they will ","없다면, 바닥에",
"dump the items on the ","물품을 버리게",
"floor.","될 것입니다.",
"drink at a water source ","수원 구역에서 물을",
"zone or gather water ","마시거나 양동이로 물을",
"using buckets for ","길어 다양한 작업에",
"various tasks.  This is ","사용합니다. 이는 우물이",
"useful if you don't ","없거나 작업 위치를",
"have a functioning well ","정확히 통제하고 싶을 때",
"and you want to control ","유용하게 사용될 수",
"exactly where the tasks ","있습니다.",
"take place.","",
"Animals that are ","훈련 가능한 동물들은",
"capable of being ","가축 메뉴에서 조련사가",
"trained receive their ","배정되면 이 구역에서",
"training at this zone ","훈련을 받게 됩니다.",
"once they have been ","훈련에는 일반적으로",
"assigned a trainer from ","고기 한 점이",
"the Pets/Livestock ","필요합니다.",
"menu.  Generally, a ","",
"piece of meat is ","",
"required.","",
"Prisoners convicted in ","정의 메뉴에서 유죄",
"the Justice menu can be ","판결을 받은 죄수는",
"incarcerated at a chain ","감옥 구역의 쇠사슬이나",
"or metal cage in the ","금속 우리에",
"dungeon zone.","투옥될 수 있습니다.",
"Deceased citizens and ","사망한 시민과 애완동물은",
"pets can be laid to ","무덤에 안장될 수",
"rest in a tomb.  It ","있습니다. 무덤에는",
"should include a ","관, 평관, 또는 석관이",
"coffin, casket, or ","포함되어야 합니다.",
"sarcophagus.","",
"Citizens assigned to ","낚시 작업이 할당된",
"the fishing work detail ","시민들은 이 구역이",
"will fish in this zone ","존재할 경우 이곳에서",
"if it exists.  ","낚시를 합니다.",
"Otherwise, they will ","그렇지 않으면,",
"fish everywhere.","어디서든 낚시를 합니다.",
"Plant gathering zones ","식물 채집 구역은",
"are used in locations ","식물을 자주 채집할",
"where plants will be ","장소에 사용됩니다.",
"gathered frequently.  ","그 외의 경우에는",
"Use the gather ","채집 지정 명령을",
"designation otherwise.","사용하십시오.",
"Your citizens will fill ","모래 바닥이나 벽이",
"sand bags at this zone ","포함되어 있다면,",
"if a sandy floor or ","시민들은 이 구역에서",
"sandy wall is included. ","모래 주머니를 채웁니다.",
"This task is initiated ","이 작업은 유리 가마에서",
"manually at the glass ","수동으로 시작해야",
"furnace.","합니다.",
"collect clay at this ","점토 바닥이나 벽이",
"zone if a clay floor or ","포함되어 있다면,",
"clay wall is included.  ","이 구역에서 점토를 모읍니다.",
"This task is initiated ","이 작업은 가마에서",
"manually at the kiln.","수동으로 시작해야 합니다.",


"작업장 건설 클릭후 설치시 왼쪽 상단 메뉴및 툴팁들","---------------------------------------------------------------------------",
"Select material after placement","배치 후 재료 선택",
"Use closest material","가장 가까운 재료 사용",
"Keep building after placement","배치 후 계속 건설",
"Must span multiple elevations","여러 고도에 걸쳐 있어야 합니다",
"Hidden, cannot build at this location","이 위치는 숨겨져 있어 건설할 수 없습니다",
"Too close to edge","가장자리와 너무 가깝습니다",
"Blocked at this location","이 위치는 막혀 있습니다",
"Building present","건물이 있습니다",
"Must remove construction","건축물을 제거해야 합니다",
